게시글번호,제목,닉네임,날짜,조회수,추천수
45190,버스킹 영상 촬영 어떻게 하시나요???,엘사,2018-08-03,45,0
45173,부산 보컬 연습실 아무리 찾아도 못 찾겠어요 ㅜㅜ?[8],정이든,2018-08-03,66,1
45144,버스킹 할만한 장소 추천 받습니다!(서울),COMA크루 크루장,2018-08-02,61,1
45050,처음 버스킹팀을 꾸려서 해보려고 합니다!?[5],콜라,2018-07-30,141,1
45038,혹시 평택 시내 버스킹 하시는 분 계신가요?,노가리 최성운,2018-07-29,21,0
44904,대구김광석거리버스킹,테리기타,2018-07-24,60,0
44903,혹시 회원분 중에 평촌에 버스킹하는 분 계신가요?,불총새,2018-07-24,30,0
44895,토요일 김광석 거리?[15],불면,2018-07-24,122,0
44776,큐브스트리트ex 직구 하려는데여?[14],기타와꾀꼬리,2018-07-19,139,0
44712,건반 질문있어요!,자유기고가 이현수,2018-07-17,29,0
44669,서울에서 야외 연습할곳 알고싶어요.,맛소금,2018-07-16,76,1
44516,microkorg xl+ 로 건반치면서 버스킹?[1],BLACKFLAG,2018-07-10,45,0
44484,이번주 토요일 광안리에 저희 크루가 버스킹여행을가는데요?[3],도령윤,2018-07-09,106,0
44341,산본역 농협 앞 !!! 안산 중앙역 뱅뱅매장 앞 버스정류장 버스킹 장소 문의요!!!?[4],RD,2018-07-05,69,0
44324,아르코 카혼픽업질문??[16],yh01122,2018-07-04,65,0
44281,앰프랑 장비 운반 어떻게 하시나요?[5],샤인피플,2018-07-03,124,0
44110,서울 비오는 날이나 더울 때 버스킹 할만한 곳 있을까요????[2],드치언,2018-06-28,140,0
44047,버스킹 준비중인데 궁금한게있습니다?[15],깐자,2018-06-26,217,0
44027,"버스킹 초짜, 건반 추천해주세요!?[6]",비케이,2018-06-26,86,0
44004,버스킹이란? (저마다 갖고 있는 의미가 궁금해요)?[8],영희아빠,2018-06-25,127,1
43995,이태원에서 버스킹?[1],횽아,2018-06-25,110,0
43972,홍대 걷고싶은거리 버스킹자리요?[8],퍼펙,2018-06-24,106,0
43816,행사 기획을 하고 있습니다.?[15],레드킹,2018-06-18,239,0
43798,마스터키보드 버스킹?[2],박가루,2018-06-18,88,0
43778,큐브스트리트EX로 마이크 3개를 사용하려고 합니다.?[9],툴스,2018-06-17,173,0
43769,혹시 북서울꿈의숲에서 버스킹 하기도 하나요??[7],영희아빠,2018-06-16,101,1
43742,홍대 버스킹 문의,cottoncandyman,2018-06-15,76,0
43690,버스킹 한 번 하면 몇시간씩 하시나요??[10],난다요꼬레,2018-06-13,246,0
43671,포항이나 경주 버스킹 장소 추천 부탁드려요^^?[2],꽃내음 프로젝트,2018-06-12,48,0
43656,해운대에서 버스킹 해보신분 질문있습니다!?[6],벜,2018-06-11,79,0
43639,강북구 쪽에 버스킹 장비 대여 가능한 곳 있나요??,고라니,2018-06-10,41,0
43635,퍼커션분들 질문있어요!!!?[8],yh01122,2018-06-10,72,0
43590,버스킹 전기에 관해 질문드립니다!?[1],JIH JHD,2018-06-07,95,0
43532,카시오 운반할때,박가루,2018-06-05,45,0
0,?카시오 운반할때,도리도리아빠,2018-06-05,0,0
43416,순천에서 서울로 놀러갑니다 질문있슴다!?[2],도령윤,2018-06-02,46,0
43388,해운대 버스킹 관련 질문드립니다!?[2],벜,2018-06-01,98,0
43368,버스킹 예약에대해서 ㅜㅜ?[3],xoals0550,2018-05-31,227,0
43332,큐브 스트릿 팔릴까요???[8],Voicecap,2018-05-30,198,0
43143,여의나루 버스킹 질문입니다!,노래하는 아재들,2018-05-23,103,0
43137,버스킹 너무 하고싶은뎅..?[4],익퍼군,2018-05-23,194,0
43116,"경기도 안성,평택 버스킹 가능한 곳 추천 부탁드려요??[1]",노가리 최성운,2018-05-22,53,0
43087,노래방에서 녹음할때?[1],ESCD,2018-05-21,85,1
43036,버스킹할때 흥폭팔시키는 미친듯이 씬나게 달리는 노래 추천해주세요!?[9],홍곰,2018-05-20,190,0
42961,홍대버스킹?[2],벅빅,2018-05-17,105,0
42889,해운대 버스킹 장소 허가 신청할때 승인까지 보통 며칠정도 걸리나요???[1],양웬리,2018-05-15,114,0
42864,해운대 버스킹 볼까해서 지금 와있는데...?[10],양웬리,2018-05-14,208,1
42862,홍대 영풍문고?[3],MORNING,2018-05-14,89,0
42859,버스킹 질문은 아니고 축가 질문!!?[5],시준e,2018-05-14,86,1
42833,파워뱅크 믹서질문드려요??[18],나는나다,2018-05-13,80,0
42828,서울 경기 버스킹 가능한 장소와 신청방법 문의?[2],뮤그리드 싸반장,2018-05-13,154,0
42779,밤도깨비 야시장 버스킹!?[2],DJ WooGI,2018-05-11,147,0
42774,버스킹 모니터링 질문드려요?[7],나는나다,2018-05-11,80,1
42772,ex 저렴하게 구입하는방법이 낙원상가 현금구매일까요??[4],레이앨런,2018-05-11,116,0
42710,보라매공원 버스킹이요!?[3],박염소,2018-05-09,112,0
0,?보라매공원 버스킹이요!,노니염불,2018-05-09,1,0
42708,버스킹하면서 살만한 지역어디가 좋을까요??[8],파랑비,2018-05-09,149,0
42651,해운대 허가제 버스킹구역에 구청으로부터 전기 지원을 받을수있나요??[3],양웬리,2018-05-07,113,0
42594,스플래쉬심벌 추천좀요?[1],오래된도서관,2018-05-05,16,0
42591,여행버스킹용 가벼운 스피커?[2],예스,2018-05-05,126,0
42502,부산에서 버스킹?[4],멜로그루,2018-05-03,115,0
42436,서울에 있는 기타 리페어샵 추천해주세요?[11],소울뮤직,2018-05-01,32,0
42304,혹시 10인치 소노 정글 스네어 써보신분 계신가요?,yh01122,2018-04-29,50,0
0,?혹시 10인치 소노 정글 스네어 써보신분 계신가요??[1],냠냠,2018-04-29,0,0
0,?혹시 10인치 소노 정글 스네어 써보신분 계신가요?,도리도리아빠,2018-04-29,0,0
42298,노래 가사 분석법 팁좀 알려주세요!?[11],복돌,2018-04-28,100,0
42279,혹시 군산 롯데 아울렛 버스킹 참가하시는분 있나요???,버스킹중독쟈,2018-04-28,41,0
42276,큐브 ex 세팅?[5],이효인,2018-04-28,95,0
42256,부산분들 요새어디로 버스킹 나가시나요??[2],트로트버스킹,2018-04-27,67,0
42209,홍대 큐브ex랑 파워뱅크 대여나 판매가능하신분,HAHOE,2018-04-26,41,0
42207,버스킹과 음악활동으로만 생계를 유지하시는분이 계신가요??[21],파랑비,2018-04-25,279,0
42110,팁박스 어떤걸로 사용하시나요??[19],포도아저씨,2018-04-23,178,0
42070,아래글과 비슷한 질문이요!??[4],불면,2018-04-22,51,0
42068,버스킹을 해보려고 하는데 장비구성을 어떻게 해야하는지 조언부탁드립니다.?[8],씽메이트,2018-04-22,113,0
42012,한강 버스킹 장소?[5],쭉정이XD,2018-04-20,163,0
0,?한강 버스킹 장소?[2],르포포,2018-04-22,3,0
41988,[버스킹][허가][허가증][자격][자격증][신청][어디서]?[5],너구으리,2018-04-19,204,0
41987,기타에 대해 잘아시는분 답변 부탁드립니다.?[11],기타와꾀꼬리,2018-04-19,122,1
41949,여수 버스킹 스팟 아시는분~??[2],Voicecap,2018-04-18,25,0
41946,마틴 백패커와 롤랜드 ac--33의 조합인데..?[4],노니염불,2018-04-18,60,0
41907,기타에?[2],trigo,2018-04-16,68,0
41902,버스킹 처음 시작할 때?[9],때부리,2018-04-16,193,0
41893,제주도갈때 기타 기내반입가능합니까?[7],trigo,2018-04-16,82,0
41877,공연 시간에 대해서...?[6],츄우,2018-04-16,112,0
41872,앰프 추천 부탁드려요!?[3],츄우,2018-04-15,54,0
41796,홍대 신촌 버스킹 하시는 분들?[4],태욱,2018-04-12,194,0
41766,행사 열정페이관련 뉴스떴네요?[13],yolo,2018-04-12,215,3
41731,해외에서 버스킹 해보신분 있으세요??[4],태욱,2018-04-10,92,1
41713,유럽버스킹여행 고민중..ㅎ?[12],우아어엉,2018-04-10,74,0
41708,엠프 분배 질문드립니다!!!고수님들!?[4],이수처럼만,2018-04-10,53,0
41684,버스킹 예선에 참가하게 되었는데요.?[3],노니염불,2018-04-09,152,0
41647,대구 버스킹 장소!?[2],80BPM,2018-04-08,62,0
41630,안녕하세요 일정이 변경되서 올 10월 에 버스킹을 하려는 데여?[4],기타와꾀꼬리,2018-04-07,76,0
41620,한번에 몇분씩 공연하시나요??[7],후니훈1,2018-04-07,123,0
41583,버스킹플레이 사이트에 대해 아시는분요..??[3],siha75,2018-04-05,225,0
41574,혹시 남이섬 에서 버스킹 하시는 분??[2],불면,2018-04-05,86,0
41497,제주도 버스킹 해보신분 계신가요??[6],후니훈1,2018-04-02,101,0
41464,혹시 헤드셋 마이크는 쓰시는 분 계신가요??[1],기타와꾀꼬리,2018-04-01,70,0
0,?혹시 헤드셋 마이크는 쓰시는 분 계신가요???,제프밴드,2018-04-01,0,0
41463,안녕하세요 5월 쯤에 버스킹을 하려는데요?[11],기타와꾀꼬리,2018-04-01,141,0
41446,대구에서 버스킹을 하려합니다?[2],주노가,2018-03-31,87,0
41440,버스킹은?[2],키키,2018-03-30,108,0
41421,건대 버스킹 및 예약없이 버스킹할수있는곳?[2],시즈,2018-03-30,176,0
41406,여의도 한강공원에서 버스킹을할려는데 자리잡는법좀 알려주세요!?[6],시즈,2018-03-29,217,0
41369,평일에도 버스킹을??[1],DJ WooGI,2018-03-28,99,1
41282,다들 첫버스킹은 어디서하셨나요??[8],J Lite Year,2018-03-25,198,0
41258,너목보에 나온 버스킹 팀 보셨나요??[8],럽온탑,2018-03-24,275,0
41257,주말에 버스킹 하려면?[2],럽온탑,2018-03-24,94,0
41216,버스킹 퍼커션용 심벌 질문이요?[1],레쟌드,2018-03-23,29,0
41210,혹시 여수에서 버스킹해보신분 있나요??[2],우수,2018-03-23,55,0
41193,시내 광장이나 이런곳에서 버스킹할때 신고하고 하는건가요??[2],HDULSM,2018-03-22,81,0
41160,보통 버스킹 지정석 이란게 있나요??[4],사람들,2018-03-21,170,0
41133,엠알은 어디서 구하시나요?(도와주세요)?[6],사람들,2018-03-19,133,0
41114,남보컬에 1기타 1 키보드 이렇게 있는데,맹꽁이다,2018-03-18,68,0
41050,MR 틀고 버스킹하시는 분들?[5],럽온탑,2018-03-15,333,0
41023,보컬 여러분들 mr은 어디사이트에서 사시나요???[4],뜨웨이,2018-03-14,106,0
40999,서울에서의 버스킹??[6],불면,2018-03-13,212,1
40990,레코딩 고수님들 질문 있습니다.?[1],베이ther,2018-03-13,43,0
40976,악기를 잘 다루지못해도 쓰는게 도움이될까요???[5],뜨웨이,2018-03-12,129,1
40916,버스킹 전기공급 고수님들 도와주세요!?[12],천안천안,2018-03-10,177,0
40892,버스킹 입문준비생입니다 (장비등등 질문!)?[12],쿄차르트,2018-03-09,175,0
40771,2018년 한강 거리 예술가 모집 관련하여 한가지 질문요.?[12],너구으리,2018-03-04,202,0
40768,버스킹 짐?[4],최지욱,2018-03-04,104,0
40693,혜화 마로니에 공원?[3],최지욱,2018-03-01,128,0
40601,카혼 베이스페달 질문요?[6],레쟌드,2018-02-26,54,0
40580,큐브와 큐브ex랑 링크되나요!??[3],kjmok64,2018-02-25,82,0
40477,"6-7월 한달간 일본에서 버스킹 여행을 하려는데, 어느 도시가 가장 좋을까요??[9]",류슬하,2018-02-21,133,0
40462,큐브 스트리트 구입했습니다?[2],데시그널,2018-02-20,103,0
40430,버스킹 엠프 질문요?[6],꽃스커,2018-02-18,84,0
40412,버스킹 팀을 꾸리려고 하는데 MR + 주변 악기는 이상한가요??[11],SD,2018-02-18,160,0
40394,버스킹용 앰프를 살려고하는데요?[4],트로트버스킹,2018-02-17,108,0
40374,beta58a 젠하이져 e845 중어느것이 더좋아요?[3],영식,2018-02-15,66,0
40307,버스킹하시는분들?[6],hunanyu,2018-02-12,230,0
40281,인사동에서 버스킹 하려면 어떤 허가가 필요한가요??[3],뫼르소,2018-02-10,200,0
40236,직업과 버스킹?[21],바위꽃,2018-02-08,281,1
