게시글.번호,제목,닉네임,날짜,조회수,추천수
44614,[서울인천 경기도]안녕하세요 JAZZ BAND GAJA입니다.??[2],BassistMrsoulman,2018-07-13,88,2
43839,[서울인천 경기도][밴드체셔]입니다! 금요일마다 미아사거리 먹자골목 가요!?[4],드치언,2018-06-19,102,0
43805,[서울인천 경기도]오픈마이크 합니다,괴무리,2018-06-18,180,0
43793,[서울인천 경기도]6월 22일 금요일에만나요/금밴 한강 버스킹!!!?,시준e,2018-06-17,87,1
43252,[서울인천 경기도]6월 2일 결혼식 축가 갑니다!!!?,시준e,2018-05-28,121,0
43010,[서울인천 경기도]BEAT CAPSULE 파티 일정!??[2],DJ WooGI,2018-05-19,83,0
42989,[서울인천 경기도]2018년 5월 22일 검안 아라뱃길 버스킹??[13],써니호,2018-05-18,148,0
42949,[서울인천 경기도]19일 홍대 놀이터 프리마켓 Afternoon stage?[1],벅빅,2018-05-17,43,0
42806,[서울인천 경기도]Cherry bomb 토요일 합정 페이머스 그라운드/ 일요일 수원 나혜석거리??[1],홍곰,2018-05-12,72,0
42550,[서울인천 경기도]5/5 밴드 ' 어제 오늘 ' 출동합니다!??[9],기절낙지,2018-05-04,73,2
42506,[서울인천 경기도]2018년 5월 5일 합정역 깊은숲에서 공연합니다~??[4],젬베,2018-05-03,93,0
42435,[서울인천 경기도]2018 홍대로 문화로 관광으로 버스킹 공연합니다.?[4],음악인 선겸,2018-05-01,89,0
42211,[서울인천 경기도]유투브 활동을 함께할 믹싱/마스터링 구합니다??[5],Onandonmusix,2018-04-26,138,0
41572,[서울인천 경기도]뚝섬 버스킹 없나요??[3],거봉2,2018-04-04,177,0
41003,[서울인천 경기도]밴드 보컬 구해요!,이즌쉬러블리,2018-03-13,173,0
40965,[서울인천 경기도]2018 김포 버스킹 거리아티스트 모집???[4],김포문화재단,2018-03-12,236,1
39925,[서울인천 경기도]금요일에 만나요/금밴 알로프트 서울 강남 호텔 공연!??[6],시준e,2018-01-25,151,0
39913,[서울인천 경기도]이번주 일요일 공연합니다 보러오세요ㅎㅎ??[1],주노가,2018-01-24,109,1
39621,[서울인천 경기도]금요일에 만나요/ 금밴 2018년 무술년 첫 공연?[7],시준e,2018-01-09,93,0
38882,[서울인천 경기도]2017년 금밴 망년회??[1],시준e,2017-12-04,143,0
38662,[서울인천 경기도]금밴 금요일에 만나요 영풍문고에서?,시준e,2017-11-26,111,0
38517,[서울인천 경기도]금요일에만나요 금밴 일정??[1],시준e,2017-11-20,76,0
38477,[서울인천 경기도]내일 공연 일정입니다??[3],네오팝스탠다드,2017-11-18,111,0
38287,[서울인천 경기도]내일 공연 일정입니다?[3],네오팝스탠다드,2017-11-10,90,0
38160,[서울인천 경기도]금요일에 만나요 금밴 실내공연??[2],시준e,2017-11-06,124,0
38050,[서울인천 경기도]내일 공연합니다??[8],네오팝스탠다드,2017-11-02,128,0
37859,[서울인천 경기도]금요일에 만나요/ 금밴 공연일정입니다??[2],시준e,2017-10-26,103,1
37696,[서울인천 경기도]내일 오후 4시경 홍대 걷고싶은거리에서 버스킹합니다!,딘윈체스터,2017-10-20,95,2
37640,[서울인천 경기도]좌회전3초전 남은 10월 행사 일정입니다.?,좌회전3초전,2017-10-18,94,1
37451,[서울인천 경기도]금요일에 만나요:금밴 일정??[5],시준e,2017-10-12,109,0
37021,[서울인천 경기도]9.24일 부천 심곡천 버스킹 공연및 sbs 생방송 투데이 방송촬영 있어요~^-^??[2],로드맨짱,2017-09-24,135,1
36886,"[서울인천 경기도]20일 수요일 저녁 7시 부천역 마루광장 ""소름돋는버스킹"" 안내 입니다. :)??[1]",라이브,2017-09-18,114,0
36822,"[서울인천 경기도]좌회전3초전, 인천버스킹 경연대회 나갑니당!??[8]",좌회전3초전,2017-09-16,187,2
36540,[서울인천 경기도]좌회전3초전 건대 행사 있습니다.??[4],좌회전3초전,2017-09-07,117,0
35959,[서울인천 경기도]오늘 오후 4시 홍대걷고싶은 버스킹 많이찾아주세요??[3],영식,2017-08-19,122,1
35692,[서울인천 경기도]오늘오후 3시 홍대에서 버스킹할예정입니다?[4],영식,2017-08-08,137,0
35661,[서울인천 경기도]오늘오후 5시부터 강남역버스킹?[2],영식,2017-08-07,142,1
35602,[서울인천 경기도]오늘 부천역광장 버스킹!!??[2],던컨 Doncan,2017-08-04,104,0
