테마	제목	가사
사랑	좋아져	"거울을 자주 보게 됐어
더 밝은 모습으로 널 만나고 싶어
예쁜 옷을 찾아보게 됐어
더 멋진 모습으로 너를 만나고 싶어
늘 귀찮기만했던
집을 나서기 힘들던
내가 달라졌어
모두 놀라 달라진
내 모습을 보면 어쩐지
다른 사람 보는 것만 같아
너를 생각하면 나는 좋아져
달라져 더 나은 내가 되고 싶어
너 때문에 모든 게 난 좋아져
세상의 많은 좋은 것들을
다 너하고만 시작하겠어
네가 더 궁금해지게 됐어
또 어떤 표정일지 상상하게 됐어
주말을 기다리게 됐어
너만을 위한 계획들 다 해보고 싶어
늘 귀찮기만했던
집을 나서기 힘들던
내가 달라졌어
모두 놀라 달라진
내 모습을 보면 어쩐지
다른 사람 보는 것만 같아
너를 생각하면 나는 좋아져
달라져 더 나은 내가 되고 싶어
너 때문에 모든 게 난 좋아져
세상의 많은 좋은 것들을
다 너하고만 시작하겠어
왜 갑자기
내 마음속에 찾아와 놓고선
아무것도 날 못하게 해
어쩌면 너만 기다렸던 건지 난
나도 놀라 달라진
내 모습을 보면 어쩐지
다른 사람 보는 것만 같아
너를 생각하면 나는 좋아져 달라져
더 나은 내가 되고 싶어
너 때문에 모든 게 난 좋아져
세상의 많은 좋은 것들을
다 너하고만 시작할래
너 아니면 혼자 있을래"
사랑	"어장관리 (With 온유, 유인나)"	"그 앤 내가 참 편하대
그 앤 내가 필요하대
운명인 것 같아 점점 더 안달 나
나도 요즘 아무것도 없이 웃고
심심할 틈 없이 편안해
말하자면 이런 느낌 첨인데
말하자면 이런 적은 없는데
요즘 나 헷갈려 점점 더 깊어져
내 곁에 그녈 두고 파
한번 만나볼래 우리 같이 볼까
한번 불러보자 한 번쯤 워
한번 만나볼래 우리 같이 볼까
한번 불러보자 한 번쯤 워
정신이 없었대 밀당은 못한대
요즘 더 헷갈려 갈수록 깊어져
내 옆에 그 앨 두고파
한번 만나볼래 우리 같이 볼까
한번 불러보자 한 번쯤 워
한번 만나볼래 우리 같이 볼까
한번 불러보자 한 번쯤 워
우린 좋은 친구잖아
난 정말 너희 둘이 좋아
정말 좋아
이제 우린 over 너와 나는 over
우린 모두 over 어장관리
이제 그만 over 얘랑 너도 over
우린 모두 over 어장관리"
사랑	뭔가 있어	"이봐요 잠깐만 기다려 봐요
당신의 그 눈빛은 뭔가요
설명이 필요할 것 같은데
예쁘게 바라보는 것도 아닌데
그저 눈길이 닿은 건데 
오늘은 뭔가 달랐어
그대가 모르는 건지 내가 몰랐던 건지
누군 간 변했어
Feeling Feeling 
너에게 느껴져요
Feeling Feeling Feeling
가만히 있는데 숨이 멎을 것 같아
아무것도 보이지 않고 너만 
느껴지는 따스한 순간
힐링힐링 너에게 힐링해요
힐링 힐링 힐링
아무래도 좋아
이런 기분 좋아
너에게만 느껴지는 뭔가 있어
내 눈엔
어때요 사라질 거 같은가요
내가 말했던 이 느낌이
그렇다면 틀렸어요
아무렇지도 않게 하루를 다 써버리고
그대가 있는 곳에 하루 종일 버티고
그래도 모자라 
아직도 아쉬워 생각 나는걸
Feeling Feeling 
너에게 느껴져요
Feeling Feeling Feeling
가만히 있는데 숨이 멎을 것 같아
아무것도 보이지 않고 너만 
느껴지는 따스한 순간
힐링힐링 너에게 힐링해요
힐링 힐링 힐링
아무래도 좋아
이런 기분좋아
너에게만 느껴지는 뭔가 있어
내 눈엔
왠지 난 이 사람에 눈을 뜬 거 같아요
그댈 향한 내 맘이 좀 무거운가요
그 어떤 바램도 혹은 그 어떤 마음도
달라고 애쓰거나 조르지 않을게요
아무래도 좋아 이런 기분 좋아
그대와 같은 하루를 살고
그대와 함께 걷고
사랑한다 말하고 싶어
아무래도 좋아
이런 기분 좋아
너에게만 느껴지는 뭔가 있어
내 눈엔
뭔가 있어요 너에겐 너에겐"
사랑	Iced Coffee	"커피를 좋아하는 넌
하루에도 우린 몇 번씩 함께해
너를 좋아하는 난
네 투정에도 아무 말없이 늘 함께해
밤하늘 같은 색에
Half & Half
그리고 Ice like a star
그 위로 약간 저어서
한입 마시고 날 보면서
아이같이 좋아해
어떻게 이보다 더
지금 보다 더 사랑스러울 수 있니
사랑해 널
우리 처음 만난 날
그날을 아직 난 기억해 기억해
가끔 나도 모르게 널
보고 있다는 걸 잊곤 해
Loving you
너와의 시간이 너무 행복해
끝이 없는 것처럼 항상 너만 생각해
한입 마시고 날 보면서
아이같이 좋아해
어떻게 이보다 더
지금 보다 더 사랑스러울 수 있니
사랑해 널 널 사랑해 사랑해 널
내가 만든 세상에서 넌
여기 얼음처럼 항상 가득해
Maybe 쓴맛 나지 않도록
너만의 달콤함이 돼
밤하늘 같은 색에
Half & Half
그리고 Ice like a star
밤하늘 같은 색에
Half & Half
그리고 Ice like a star
밤하늘 같은 색에
Half & Half
그리고 Ice like a star
밤하늘 같은 색에
Half & Half
그리고 Ice like a star
아이같이 좋아해"
사랑	생각해	"Hey 눈 뜨면 네 생각에 항상
행복해지곤 해
밝은 햇살도 너를 닮아
환한 미소를 짓게 해
Think about you think about me
think about love
이건 개나 소나 다들 하는 생각일 걸
아마도 어쩜 마지막이지 않을까 싶네
이제 머리로는 충분히 다 해서 그래
네 입술의 향기에 이끌려 펑 하며
몸 속 도는 엔도르핀이 터지는 걸
무엇이든 좋아 아름다운 너와 난
어디로든 날아가고파 Fly fly
Babe 오랜 시간 동안 날
그리워했었다고 내게 말해 줄래
정말 큰일이야 시도 때도 없이
너만 생각해 나 왜 이래
두 팔에 쏙 하고 안겨있는
너를 매일 상상해 Oh 행복해
나 생각해 널 생각해
잠 못 드네 그대 생각에
Lalala lala lalala
너를 위해 불러 이 노래를
Cause I love you
그댈 보고 있으면
두근두근 심장이 뛰어
이런 내 맘 알까 들키긴 싫어
걱정 마 이제는 안 덜렁대
그때와 달리 널 보면
어쩔 땐 뭐를 원하는지
기분이 나쁜지 생각 안 해도 알지
아프진 않는지 눈뜰 때마다 걱정돼
넌 아이처럼 여리기에
항상 매일 옆에 있고 싶게 돼
언제나 품 안에서 감싸주고 싶은
너무 소중한 존재야 내겐
Babe 봄처럼 따스한 그댈
안고 싶었다고 네게 말해 줄게
정말 큰일이야 시도 때도 없이
너만 생각해 나 왜 이래
두 팔에 쏙 하고 안겨있는
너를 매일 상상해 Oh 행복해
나 생각해 널 생각해
잠 못 드네 그대 생각에
Lalala lala lalala
너를 위해 불러 이 노래를
네가 원하는 건 다 네게 주고 싶어
이 세상에 없대도 밤하늘의 별이라도
아침부터 밤까지 나의 마음은
너 하나로 채워 생각했던 시간
헤매고 길을 잃어도
내가 진심을 담아서
찾아갈게 네가 어디에 있어도
정말 큰일이야 시도 때도 없이
너만 생각해 나 왜 이래
두 팔에 쏙 하고 안겨있는
너를 매일 상상해 Oh 행복해
나 생각해 널 생각해
잠 못 드네 그대 생각에
Lalala lala lalala
너를 위해 불러 이 노래를"
사랑	그대 만나는 날	"내일 그댈 만나는 날 어떡해
맘에 드는 옷 단 하나도 없는데
언니 옷장에서 제일 예쁜 옷 
몰래 꺼냈죠
벌써부터 난 내일을 준비하죠
참 기분 좋은 일이죠
주말엔 밀린 드라마를 
보기 바빴는데
어느새 난 그댈 기대해요
참 기분 좋은 날이죠
비 오는 흐린 날에도 
어디든 괜찮아요
그대 내 곁에 있어 준다면
오늘 그댈 만나는 날 설렘에
어젠 잠도 못 잤죠 그대 생각에
어떤 영활 볼까 
뭘 먹을까 어디로 갈까
들뜬 내 마음 숨기려 크게웃죠 
참 기분 좋은 일이죠
주말엔 밀린 드라마를 
보기 바빴는데
어느새 난 그댈 기대해요
참 기분 좋은 날이죠
비 오는 흐린 날에도 
어디든 괜찮아요
그대 내 곁에 있어 준다면
내일 또 우리 만나요
맘으로 수백 번이나 
건네고 싶던 이말
아직은 나 용기가 안나요 
참 기분 좋은 날이죠
달콤한 꿈이라 해도 
잊을 수 없는 순간
그대와 내가 처음 만난 날
그대와 내가 처음 만난 날"
사랑	나무	"세상에 똑 같은 건 없어
애써 맞출 필요 없잖아
아무도 뭐라 할 수 없어
니가 원한다면 괜찮아
우리 서로 사랑할 때
보이는 건 중요치 않아
그 모습 그대로면 충분해
우린 서로 다른 곳을 향해
자라가는 나무 들일 뿐이야
서로 다른 색의 꽃이 필 때
찬란한 숲이 될 거야
이제는 너를 보여줘
애써 감출 필요 없잖아
모두의 맘에 들 순 없어
네 맘에 들면 괜찮아
우리 서로 사랑할 때
보이는 건 중요치 않아
그 마음 하나로도 충분해
우린 서로 다른 곳을 향해
자라가는 나무 들일 뿐이야
서로 다른 색의 꽃이 필 때
찬란한 숲이 될 거야
우린 서로 다른 곳을 향해
자라가는 나무 들일 뿐이야
서로 다른 색의 꽃이 필 때
찬란한 숲이 될 거야
우린 서로 다른 곳을 향해
자라가는 나무 들일 뿐이야
서로 다른 색의 꽃이 필 때
찬란한 숲이 될 거야"
사랑	그는	"그는 매력 있어 너무 멋져
한눈에 모두 반할 거야
그는 잘 생겼어 웃음이 예뻐
매일매일 갖고 싶어
오 그 사람은 너무 완벽해
내겐 아이돌 배우 아님 천사
오 그 사람의 모든 걸 갖고 싶어
하루 종일 그대 생각만
오 그대 내 마음 좀 받아줘요
난 그대 밖에 몰라요
내 사랑 그댄 내게 전부에요
지금 당장 안아줘요
왜 나를 바보라고 자꾸 부르나요
지금 내 마음 진심인데 진짜
조금 서툴지만 그댈 향한 마음
만큼은 나 자신 있어
방금 나를 보고 웃었나요
그대 맘도 내 맘과 같나요
나 지금 추워 배고파 어디든 가요
그대와 데이트할래
오 그대 내 마음 좀 받아줘요
난 그대 밖에 몰라요
내 사랑 그댄 내겐 오 전부에요
지금 당장 안아줘요
나도 이런 말 하기 진짜
쉽지 않아요 믿어줘
그만큼 그대가 내게 너무 간절해요
지금 내게 입 맞춰요
오 그대 내 마음 좀 받아줘요
난 그대 밖에 몰라요
내 사랑 그댄 내게 오 전부에요
지금 당장 안아줘요"
사랑	"좋아요 (Feat. 로라, 더브릿지)"	"드디어 내 앞에 나타나 이 설렘 
안겨줬어
바라보면 눈을 뗄 수가 없어요 
왜 이러죠
웃음이 나 그대만 생각하면 
아무 것도 아닌 일인데도 난
믿어줄래요 이런 마음 
처음인 것 같아요
느낌이 좋아요 사랑을 할래요 
그대와 둘이서
내 맘에 들어와요 그대면 좋아요 
꿈처럼 포근한 이 사랑
좋아요 좋아요 좋아요
드디어 내 앞에 나타나 이 설렘 
안겨줬어
바라보면 눈을 뗄 수가 없어요 
왜 이러죠
웃음이 나 그대만 생각하면 
아무 것도 아닌 일인데도 난
믿어줄래요 이런 마음 
처음인 것 같아요
느낌이 좋아요 사랑을 할래요 
그대와 둘이서
내 맘에 들어와요 그대면 좋아요 
꿈처럼 포근한 이 사랑
좋아요 좋아요 좋아요
좋아도 너무 좋아
내 맘도 그런 걸요
선물 같은 사랑 그대와 나 
심장이 두근거려
느낌이 좋아요 사랑을 할래요 
그대와 둘이서
내 맘에 들어와요 그대면 좋아요 
꿈처럼 포근한 이 사랑
좋아요 좋아요 좋아요"
사랑	Hot Hot Hot	"그래 난 다 알고 있었어 
나의 여자친구는 
사람이 아닐 거야
어라 이건 뭘까 
니가 왜 여기 있니
옷은 또 그게 뭐니
여긴 내 방 맞고 거긴 
내 창문인데 니가 왜 거기 있니
에구머니나 그렇게도 
나 기다리던 그날인 걸까
게슴츠레 날 바라보는 
니 눈빛 너무 Hot Hot Hot
Hey 난 다 알고 있었어 
나의 여자친구는 
사람이 아닐 거야
요정일 거야 넌 천사일 거야 
그만큼 예뻐 넌
어라 이건 뭘까 
손도 못 잡았는데 
내게 입맞추는 너
무슨 말을 할까 무슨 말이 필요해
이 순간 날 맡길게
에구머니나 내 몸이 
왜 이런 거니 이러면 안돼
그러면서 나 싫지 않은
이 기분 뭐니Hot Hot Hot
Hey 난 다 알고 있었어 
나의 여자친구는 
사람이 아닐 거야
요정일 거야 넌 천사일 거야 
그만큼 예뻐 넌
꿈을 꾸는 것만 같아
너와 함께 있다는 게
너를 안고 입 맞추고
너를 좋아해 너를 사랑해
눈을 떠 보니 너는 없어 
모든 게 꿈이었어
아 정말 좋았는데
다시 잠들면 꿈을 꿀까
니가 다시 와줄까
다시 입 맞춰줄까
꿈이라도 좋아 
너라면 좋아 그만큼 예뻐 넌
Hey 난 다 알고 있었어
나의 여자친구는 
사람이 아닐 거야
요정일 거야 넌 천사일 거야
그만큼 예뻐 넌
그래 난 다 알고 있었어
나의 여자친구는
사람이 아닐 거야"
