"","code","day","p.young","p.old","weekdays"
"1",1,2018-04-01,139026.483146719,73014.7580019732,"일"
"2",1,2018-04-02,129655.619520274,62816.0392486482,"월"
"3",1,2018-04-03,205423.990852065,77404.6200510042,"화"
"4",1,2018-04-04,206575.923844176,82203.7193799121,"수"
"5",1,2018-04-05,208395.879680296,84820.0805759438,"목"
"6",1,2018-04-06,204009.290003285,82804.4218355287,"금"
"7",1,2018-04-07,187285.1056581,81451.2865131915,"토"
"8",1,2018-04-08,152790.28049883,72539.8259782937,"일"
"9",1,2018-04-09,147103.375968832,61298.9373191982,"월"
"10",1,2018-04-10,207937.978143432,79111.4640829253,"화"
"11",1,2018-04-11,204139.251138901,81574.538969334,"수"
"12",1,2018-04-12,198210.391964776,82649.5732702668,"목"
"13",1,2018-04-13,199374.923011302,86779.5619726401,"금"
"14",1,2018-04-14,175791.559127594,80801.830661471,"토"
"15",1,2018-04-15,122191.543568412,70520.8696252696,"일"
"16",1,2018-04-16,103207.255076595,61781.3632163111,"월"
"17",1,2018-04-17,129312.274162422,74073.2199485876,"화"
"18",1,2018-04-18,129457.990366508,79437.9838216167,"수"
"19",1,2018-04-19,125896.235472359,80407.8637267766,"목"
"20",1,2018-04-20,129160.784176338,83279.6549801562,"금"
"21",1,2018-04-21,137712.434638999,80518.4692719209,"토"
"22",1,2018-04-22,106788.044452619,69625.5732533014,"일"
"23",1,2018-04-23,97459.6167147811,59392.7058036067,"월"
"24",1,2018-04-24,107463.338640621,64084.265897292,"화"
"25",1,2018-04-25,123392.946872385,73396.1774819226,"수"
"26",1,2018-04-26,127261.744228654,79593.5828720176,"목"
"27",1,2018-04-27,126666.039382841,80525.8971577114,"금"
"28",1,2018-04-28,123108.235211172,78352.3719966988,"토"
"29",1,2018-04-29,98755.6099844859,68997.4414734006,"일"
"30",1,2018-04-30,94050.3110735774,64602.8486453926,"월"
"31",2,2018-04-01,5793.81282271941,7285.36856581606,"일"
"32",2,2018-04-02,5870.72321284513,7118.90274699607,"월"
"33",2,2018-04-03,5527.33446297319,7325.01711781344,"화"
"34",2,2018-04-04,5437.43990459145,7464.69246712631,"수"
"35",2,2018-04-05,5373.27916928233,7481.95257865742,"목"
"36",2,2018-04-06,5282.83076309094,7341.66431900527,"금"
"37",2,2018-04-07,5291.13768424779,7548.56145571157,"토"
"38",2,2018-04-08,5785.86423650893,7275.78694720645,"일"
"39",2,2018-04-09,5856.29557461439,7040.79376037135,"월"
"40",2,2018-04-10,5506.70862393442,7155.32772140656,"화"
"41",2,2018-04-11,5384.93642309573,7296.70294167257,"수"
"42",2,2018-04-12,5435.97871094926,7501.67947403936,"목"
"43",2,2018-04-13,5376.19220889769,7581.52214517459,"금"
"44",2,2018-04-14,5393.66745983293,7362.49793301392,"토"
"45",2,2018-04-15,5868.15042909871,7439.29502915365,"일"
"46",2,2018-04-16,5927.86122091948,7061.13421252243,"월"
"47",2,2018-04-17,5741.51045849346,7196.94316579682,"화"
"48",2,2018-04-18,5594.05879527139,7425.1542332792,"수"
"49",2,2018-04-19,5499.63573476901,7572.32768617721,"목"
"50",2,2018-04-20,5534.43889840959,7693.47687710958,"금"
"51",2,2018-04-21,5629.15644329497,7737.41994807941,"토"
"52",2,2018-04-22,5942.716254971,7483.0647407335,"일"
"53",2,2018-04-23,6067.17068707307,6921.11882440288,"월"
"54",2,2018-04-24,6318.57810690049,7439.33629203413,"화"
"55",2,2018-04-25,5836.91599608825,7566.80068463845,"수"
"56",2,2018-04-26,5634.11771380665,7655.41564047932,"목"
"57",2,2018-04-27,5530.27987881833,7538.22106823116,"금"
"58",2,2018-04-28,5517.21797591446,7679.03163602931,"토"
