"aa","Freq"
"1","그대",788
"2","사랑",702
"3","마음",686
"4","에게",678
"5","우리",618
"6","you",601
"7","사랑하",580
"8","아요",477
"9","처럼",406
"10","love",389
"11","이제",381
"12","어요",349
"13","오늘",346
"14","모르",343
"15","버리",308
"16","다시",297
"17","me",287
"18","oh",287
"19","my",282
"20","너무",268
"21","지만",263
"22","하루",261
"23","ㄹ까",259
"24","사람",259
"25","Oh",255
"26","에서",255
"27","으로",251
"28","it",249
"29","함께",249
"30","떠나",237
"31","아도",237
"32","너와",235
"33","baby",232
"34","지금",230
"35","시간",227
"36","모든",217
"37","아니",215
"38","모두",210
"39","못하",197
"40","어도",197
"41","눈물",193
"42","바람",190
"43","하나",190
"44","부르",188
"45","기억",184
"46","까지",177
"47","이렇게",177
"48","어서",172
"49","the",167
"50","세상",166
"51","는데",165
"52","만나",163
"53","어디",163
"54","조금",162
"55","하늘",161
"56","누구",156
"57","생각",156
"58","ㄴ다",155
"59","아서",154
"60","아직",153
"61","보이",151
"62","정말",150
"63","가슴",149
"64","보다",149
"65","행복하",147
"66","다면",145
"67","기다리",144
"68","You",142
"69","그런",142
"70","그렇게",141
"71","느끼",140
"72","그래",139
"73","순간",138
"74","ㄹ게",137
"75","노래",136
"76","그냥",134
"77","다고",134
"78","to",133
"79","힘들",131
"80","여름",130
"81","모습",128
"82","위하",127
"83","아무",125
"84","매일",122
"85","이런",122
"86","아름답",121
"87","을까",120
"88","나오",119
"89","말해",119
"90","your",118
"91","소리",117
"92","아프",117
"93","여자",117
"94","혼자",115
"95","괜찮",114
"96","추억",113
"97","Baby",112
"98","ㄴ지",111
"99","으면",111
"100","지나",111
"101","자꾸",108
"102","바라보",106
"103","언제나",106
"104","어떻",104
"105","다른",103
"106","be",102
"107","보내",102
"108","달콤",100
"109","만큼",100
"110","그것",98
"111","라고",98
"112","흔들",97
"113","같이",96
"114","는지",95
"115","in",94
"116","니까",94
"117","다는",94
"118","생각하",92
"119","여기",92
"120","없이",91
"121","ㄴ데",90
"122","나나",90
"123","라도",90
"124","girl",89
"125","처음",89
"126","멈추",88
"127","원하",88
"128","어야",87
"129","come",86
"130","내일",85
"131","파도",85
"132","항상",85
"133","ㄹ래",84
"134","무엇",84
"135","미치",83
"136","친구",83
"137","uh",82
"138","ㄴ다면",81
"139","가늘",80
"140","그녀",80
"141","면서",79
"142","for",78
"143","안되",78
"144","Hot",77
"145","shake",77
"146","그때",77
"147","ㄴ가",77
"148","예쁘",77
"149","that",76
"150","미소",76
"151","바보",76
"152","남자",75
"153","바다",75
"154","and",74
"155","기분",74
"156","My",73
"157","know",72
"158","Let",71
"159","흐르",71
"160","eh",70
"161","go",70
"162","like",70
"163","기대",70
"164","언제",70
"165","지나가",70
"166","부터",69
"167","슬프",69
"168","하지만",69
"169","Shake",68
"170","Summer",68
"171","부비부비",68
"172","은데",68
"173","을게",68
"174","time",67
"175","거리",67
"176","다가",67
"177","많이",67
"178","서로",67
"179","어떤",67
"180","ㄴ다고",66
"181","다가오",65
"182","어떡하",65
"183","오직",65
"184","지우",65
"185","푸르",65
"186","with",64
"187","가끔",64
"188","아래",64
"189","얘기",64
"190","up",63
"191","멀리",63
"192","이별",63
"193","자꾸만",63
"194","La",62
"195","빠지",62
"196","았었",62
"197","태양",62
