"","Var1","Freq"
"1","나",4666
"2","너",1825
"3","그대",788
"4","사랑",702
"5","마음",686
"6","우리",613
"7","널",474
"8","니",408
"9","말",364
"10","오늘",346
"11","밤",313
"12","때",278
"13","눈",271
"14","하루",261
"15","사람",259
"16","속",242
"17","너와",235
"18","지금",230
"19","시간",226
"20","꿈",204
"21","눈물",193
"22","곁",191
"23","일",177
"24","바람",174
"25","네",172
"26","세상",166
"27","손",165
"28","어디",163
"29","조금",162
"30","그",161
"31","하늘",161
"32","이제",159
"33","누구",156
"34","생각",156
"35","가슴",149
"36","저",149
"37","순간",138
"38","여름",130
"39","모습",128
"40","기억",122
"41","말해",119
"42","소리",117
"43","여자",117
"44","혼자",115
"45","노래",114
"46","추억",113
"47","뭐",111
"48","날",106
"49","앞",106
"50","위",106
"51","곳",104
"52","그것",98
"53","여기",92
"54","끝",90
"55","나나",90
"56","처음",89
"57","수",87
"58","링",86
"59","파도",85
"60","무엇",84
"61","친구",83
"62","라",81
"63","그녀",80
"64","그때",77
"65","미소",76
"66","바보",76
"67","남자",75
"68","바다",75
"69","안",75
"70","기분",74
"71","빛",71
"72","언제",70
"73","바",69
"74","부비부비",68
"75","힘",68
"76","길",66
"77","거리",64
"78","아래",64
"79","얘기",64
"80","마",63
"81","볼",63
"82","이별",63
"83","태양",62
"84","얼굴",61
"85","내일",60
"86","비",60
"87","머리",58
"88","햇살",58
"89","입술",56
"90","향기",56
"91","꽃",53
"92","마지막",52
"93","맘",52
"94","걸",51
"95","상처",51
"96","이름",51
"97","아침",50
"98","테",50
"99","느낌",49
"100","눈빛",48
"101","사이",48
"102","옆",48
"103","위로",47
"104","자리",47
"105","행복",46
"106","숨",45
"107","이상",45
"108","전",45
"109","집",45
"110","몸",44
"111","아무것",44
"112","인생",44
"113","전부",44
"114","걱정",43
"115","당신",42
"116","별",42
"117","봄",42
"118","어깨",42
"119","종일",42
"120","보",41
"121","서로",41
"122","달",40
"123","삶",40
"124","어제",40
"125","이유",39
"126","가",38
"127","건",38
"128","그날",37
"129","어른",37
"130","잠",37
"131","뒤",36
"132","목소리",36
"133","밥",36
"134","워",36
"135","구름",35
"136","새벽",35
"137","우",35
"138","춤",35
"139","슬픔",34
"140","표정",33
"141","내",32
"142","버린",32
"143","운명",32
"144","차",32
"145","파란",32
"146","거기",31
"147","거짓말",31
"148","맛",31
"149","모두",31
"150","영원",31
"151","입",31
"152","걸음",30
"153","남아",30
"154","내맘",30
"155","상상",30
"156","서",30
"157","울라",30
"158","지친",30
"159","수도",29
"160","심장",29
"161","연인",29
"162","웃음",29
"163","이것",29
"164","자신",29
"165","전화",29
"166","그리움",28
"167","도시",28
"168","로",28
"169","사진",28
"170","약속",28
"171","쵸콜렛",28
"172","별빛",27
"173","절대",27
"174","챔피언",27
"175","고래",26
"176","날들",26
"177","마벨",26
"178","바닷가",26
"179","잠시",26
"180","쿨",26
"181","술",25
"182","아이",25
"183","의미",25
"184","그곳",24
"185","동안",24
"186","만",24
"187","모래",24
"188","빙수",24
"189","선물",24
"190","이야기",24
"191","필요",24
"192","함",24
"193","후회",24
"194","겨울",23
"195","기다림",23
"196","님",23
"197","대로",23
"198","인걸",23
"199","꽃잎",22
"200","너랑",22
"201","노",22
"202","리라",22
"203","매일",22
"204","영화",22
"205","음악",22
"206","기대",21
"207","록",21
"208","맘속",21
"209","아픔",21
"210","엉덩이",21
"211","여행",21
"212","외로움",21
"213","이",21
"214","준비",21
"215","커피",21
"216","토",21
"217","한마디",21
"218","해",21
"219","손길",20
"220","우산",20
"221","귓가",19
"222","나팔",19
"223","미련",19
"224","사실",19
"225","시작",19
"226","얼음",19
"227","쯤",19
"228","카모마일",19
"229","고개",18
"230","고백",18
"231","꿈속",18
"232","레",18
"233","밤새",18
"234","시절",18
"235","어둠",18
"236","언제쯤",18
"237","요즘",18
"238","인사",18
"239","편지",18
"240","해변",18
"241","화",18
"242","계절",17
"243","누군가",17
"244","눈치",17
"245","목",17
"246","미래",17
"247","설레임",17
"248","에너지",17
"249","인",17
"250","창가",17
"251","천국",17
"252","천사",17
"253","한숨",17
"254","후",17
"255","가슴속",16
"256","거울",16
"257","고",16
"258","공기",16
"259","달라",16
"260","라라",16
"261","마음속",16
"262","발",16
"263","버릴",16
"264","별이",16
"265","불면",16
"266","예전",16
"267","완전",16
"268","욕심",16
"269","용기",16
"270","저녁",16
"271","정신",16
"272","파",16
"273","하루하루",16
"274","한편",16
"275","꿀",15
"276","나인",15
"277","나팔바지",15
"278","남",15
"279","남이",15
"280","다리",15
"281","다음",15
"282","뒷모습",15
"283","릴",15
"284","방",15
"285","벽",15
"286","변한",15
"287","시",15
"288","에오",15
"289","있니",15
"290","자유",15
"291","저기",15
"292","참",15
"293","한걸음",15
"294","한참",15
"295","흔적",15
"296","고민",14
"297","공주",14
"298","기쁨",14
"299","떨림",14
"300","머릿속",14
"301","번",14
"302","소중한",14
"303","오랜만",14
"304","인연",14
"305","잔",14
"306","전화기",14
"307","존재",14
