"기준년도","소지역_코드","조사년도","세대수","남성유동인구수_09세미만","남성유동인구수_10_19세미만","남성유동인구수_20_24세미만","남성유동인구수_25_29세미만","남성유동인구수_30_34세미만","남성유동인구수_35_39세미만","남성유동인구수_40_44세미만","남성유동인구수_45_49세미만","남성유동인구수_50_54세미만","남성유동인구수_55_59세미만","남성유동인구수_60_64세미만","남성유동인구수_60세이상","여성유동인구수_09세미만","여성유동인구수_10_19세미만","여성유동인구수_20_24세미만","여성유동인구수_25_29세미만","여성유동인구수_30_34세미만","여성유동인구수_35_39세미만","여성유동인구수_40_44세미만","여성유동인구수_45_49세미만","여성유동인구수_50_54세미만","여성유동인구수_55_59세미만","여성유동인구수_60_64세미만","여성유동인구수_65세이상","X_좌표","Y_좌표","건물관리번호","데이터_적재일시"
"﻿STD_YYYY","BLOCK_CD","INVT_YYYY","HHLD_CNT","POP_M_0009","POP_M_1019","POP_M_2024","POP_M_2529","POP_M_3034","POP_M_3539","POP_M_4044","POP_M_4549","POP_M_5054","POP_M_5559","POP_M_6064","POP_M_6500","POP_W_0009","POP_W_1019","POP_W_2024","POP_W_2529","POP_W_3034","POP_W_3539","POP_W_4044","POP_W_4549","POP_W_5054","POP_W_5559","POP_W_6064","POP_W_6500","X_COORD","Y_COORD","BD_MGT_SN","DATA_LOAD_DT"
"2014","1.12306E+19","2014","14.14","0","0.56","1.61","2.31","1.76","1.49","1.21","0.67","0.51","0.91","0.37","0.57","0.65","0.66","2.01","4.47","3.11","1.58","1.15","0.82","1.05","0.75","0.62","1.21","959138.1557","1945282.101","1.16801E+24","20150630"
"2014","1.12306E+19","2014","15.42","0.89","0.75","1.87","1.82","3.37","2","1.47","1.92","1.15","0.93","0.99","0","0","1.29","1.65","2.77","3.57","1.27","1.28","0.84","1.54","1.58","0","0","958570.3406","1944722.29","1.16801E+24","20150630"
"2014","1.12306E+19","2014","9","0.45","0.31","1.23","1.63","1.7","1.02","1.05","0.73","0.62","0.42","0.34","0.29","0.3","0.48","2.26","1.93","1.94","0.86","0.57","0.32","0.62","0.38","0.33","0","958894.7668","1944243.191","1.16801E+24","20150630"
"2014","1.12306E+19","2014","9","0.56","0.42","0.98","1.45","1.67","1.09","0.72","0.44","0.57","0.34","0.56","1.26","0.21","0.37","1.49","1.91","1.99","0.85","0.65","0.63","0.65","0.73","0.54","0.74","958862.9439","1944964.756","1.16801E+24","20150630"
"2014","1.12306E+19","2014","11.57","0.31","0","1.08","1.51","2.28","1.34","0.67","0.42","0.32","0.5","0.34","0.51","0.49","0.3","2.75","3.08","3.52","1.22","0.89","0.58","0.62","0.28","0.55","0.9","958995.2603","1945272.345","1.16801E+24","20150630"
"2014","1.12306E+19","2014","15.42","0","0.32","1.82","2.57","2.76","1.81","1.39","0.9","1.04","0.49","0.51","1.3","0.68","0.66","2.82","3.98","2.92","1.64","1.44","0.88","0.97","0.74","0.81","1.14","959592.7362","1945329.5","1.16801E+24","20150630"
"2014","1.12306E+19","2014","14.14","0.36","0.65","1.12","2.41","2.67","1.93","1.3","0.77","0.6","0.54","0.34","1.07","0.32","0.53","1.63","3.33","4.18","2.05","1.35","1.02","0.77","0.8","0.68","0.93","959547.2866","1945417.226","1.16801E+24","20150630"
"2014","1.12306E+19","2014","11.57","0.31","0","1.08","1.51","2.28","1.34","0.67","0.42","0.32","0.5","0.34","0.51","0.49","0.3","2.75","3.08","3.52","1.22","0.89","0.58","0.62","0.28","0.55","0.9","958940.9046","1945343.03","1.16801E+24","20150630"
"2014","1.12306E+19","2014","14.14","0","1.27","1.39","1.66","2.13","1.8","1.1","1.07","0.88","0.76","0.54","1.38","1.04","1.69","1.84","2.84","3.3","1.52","1.43","1.11","0.91","0.91","0.76","1.29","959615.9682","1945660.501","1.16801E+24","20150630"
