조사지점코드,조사지점명
01-001,평창치안센터(파출소).
01-002,구기 빌딩앞(카리스).
01-003,신흥모피명품전문크리닝.
01-004,우리농산물마트.
01-005,세검정정류장
01-006,부흥문구사 입구
01-007,국민대학교 삼림과학대학 실습장
01-008,안성타워內 굿모닝파워공인중개사.
01-009,복실 손뜨기.
01-010,부암동 기아 자동차
01-011,버스정류장에서 도로 바라보고 좌측 삼흥상사.
01-012,뉴경신 숙녀화.
01-013,대광약국.
01-014,남서울전문학교 우측출입문
01-015,경안서림.
01-016,24시 동대문 설렁탕.
01-017,시즌빌딩.
01-018,천인인재사.
01-019,서울전문학교.
01-020,서울종로농약.
01-021,삼성카드빌딩.
01-022,88귀금속.
01-023,효성마네킹.
01-024,장안조명.
01-025,형제조명입구.
01-026,the DAY 입구.
01-027,우일빌딩 UPA.
01-028,TIFS빌딩(성우빌딩).
01-029,KFC
01-030,가정부페.
01-031,종로3가 T World
01-032,오므토 토마토
01-033,Caffe Themselves.
01-034,Cafe-Ti-amo.
01-035,파리바게뜨.
01-036,au-bon-pain 베이커리.
01-037,우리은행.
01-038,종묘공원
01-039,VIP텔레콤(LG텔레콤) OZ 입구
01-040,瑞 振 서진빌딩 입구
01-041,우리은행 재동지점.
01-042,청운동 67-2 일반주택
01-043,우정에쉐르.
01-044,청운동 48번지 일반주택
01-045,종로경찰서 민원봉사실
01-046,종로문화원.
01-047,경복궁 돌담길 국립민속박물관 정류장에서 광화문삼거리방향 70미터.
01-048,"경복궁 돌담길 국립민속박물관,경복궁서문 정류장에서 경복궁역 방향으로 60미터"
01-049,강남의원.
01-050,남원추어탕 맞은편.
01-051,한솔약국
01-052,대영빌딩
01-053,The Place.
01-054,픽스딕스.
01-055,비너스.
01-056,세종로 공원.
01-057,금호아시아나 1관.
01-058,정류장에서 도로바라보고 좌측20미터 업무시설공사 신축 공사장.
01-059,안경마을 콘텍트
01-060,세란병원.
01-061,사직공원 정문 앞
01-062,대진의료기
01-063,에이스조명
01-064,매현빌딩(삼성증권 종로지점)
01-065,대보 귀금속
01-066,경복궁 돌담길 경복궁동문 정류장에서 춘추관앞 방향으로 60M
01-067,원서공원
01-068,서울역사 박물관 옆길
01-075,버스정류장에서 도로 바라보고 좌측20미터 일성툴
01-076,버스정류장에서 도로 바라보고 좌측 20미터 장성풍력
01-077,우리은행 YMCA점
01-078,"다이렉트 잉글리쉬, (동일빌딩)"
01-079,Tworld 대리점
01-080,허가 받은 노점상
01-081,종로2가 맥도날드
01-082,우리은행 YMCA 지정 건물
01-083,파고다어학원 (씨네빌딩)
01-084,광화문 빌딩
01-096,대륭전선
01-1201,광화문 시민 열린마당 좌측 횡단보드 앞
01-1202,미국대사관 건너편 횡단보도 앞
01-1203,낙지센터 우측 20M앞
01-1204,바지락 칼국수 앞
01-1205,서울보증보험 조형물
01-1206,효제초교 지하주차장입구
01-1207,중학동 새마을금고
01-1208,대일빌딩
01-1209,운촌빌딩
01-1210,자전거 배움터
01-1211,국일관
01-1212,성제종합휘장타운
01-1231,아리식당 건너편
01-1232,안국역 6번 출구 건너편
01-1234,공평빌딩 건너편
01-1237,금마화랑
01-2007,청운중학교
01-201,SINDO 앞
01-2010,새사람선교회
01-2011,궁정교회
01-2012,로마교황청대사관
01-2016,푸르메나눔치과
01-202,"spring come, rain fall 앞"
01-2021,1번지 주택
01-2022,114번지 구멍가게
01-2023,삼청동사무소
01-2024,삼청생태
01-2025,삼청동 우체국
01-2026,감사원뒷길
01-2027,58번지 1호 옷가게
01-2028,화동 41번지 커피샾
01-2029,서울 닭 문화관 건너편 골목길
01-203,조은학작명원
01-2030,서울 닭 문화관
01-2031,신한은행 효자동 지점
01-2032,산림욕갈림길
01-2033,군부대
01-2034,어린이 도서관
01-2035,사직 치안센터 건너
01-2036,명성이네
01-2037,경복궁 양추문
01-2038,트렁크 갤러리
01-2039,국군서울병원
01-204,"책여행, 계동교회"
01-2040,서울교육사료관 담벼락
01-2042,오뎅돼지
01-2043,淸나라(중국집)
01-2044,창덕궁
01-2045,매일유업
01-2046,파크펠리스
01-2047,서라벌빌딩
01-2049,서울지방경찰청 동문건너
01-2050,I Love You
01-2051,카페 디베비스
01-2053,종교교회
01-2054,포호이안
01-2055,정부 중앙청사 후문
01-2056,국립고공박물관글자
01-2057,정부중앙청사
01-2058,세종로 공원 건너편
01-2059,세종로공원 옆
01-206,"현대가든, 안집, 보소 건너편"
01-2060,광화문
01-2061,sand presso
01-2062,광화문시민열린마당
01-2063,미진빌딩
01-2064,박진 국회의원 사무소
01-2067,덕성여중
01-2068,풍문여고 담벼락
01-2069,안국동 하나은행
01-2070,간판가게
01-2071,운니동 GS칼텍스
01-2073,용문빌딩
01-2074,수송동 126-2 공사장
01-2075,좋은하루
01-2077,수송동 대림빌딩
01-2078,궁전노래광장
01-2079,세종문화회관 뒤
01-208,산내리 한정식
01-2080,소송동 스타벅스
01-2081,평창 한우
01-2082,"천마빌딩, 지엠대우"
01-2083,천도교
01-2084,"덕성여대, 교동초교, 사이 골목"
01-2085,뜨레비앙빌딩
01-2086,일등 의상실
01-2087,만화방
01-2088,이귀희 사무소
01-2089,동평빌딩
01-209,비어오크
01-2090,서울특별시 교육청
01-2091,건강한세상 약국
01-2092,세안빌딩
01-2093,선광빌딩
01-2094,미스터 도너츠
01-2095,동아일보
01-2096,우체국예금보호 365자동화코너
01-2097,스파게띠아
01-2098,낚지조개볶음전문점
01-2099,한가람 노래바 건너
01-210,명륜동2가 새마을금고
01-2100,한가람 노래바
01-2101,알파빌딩(아시아나 항공)
01-2102,SC 제일주차장 우측
01-2103,관철동 T world
01-2104,일식레스토랑
01-2105,"탑골공원, 낙원상가 사이 횡단보도"
01-2106,종로 전집
01-2107,대영수산
01-2108,묘동 바이더웨이
01-2109,백궁 귀금속 도매상가
01-211,명륜동2가 김밥천국
01-2110,웰빙콩나물
01-2111,관수동 세븐일레븐
01-2112,동명 전광판
01-2113,명광교회
01-2114,만화매니아
01-2115,태양전기
01-2116,민들레
01-2117,대명빌딩
01-2118,창경궁입구
01-2119,함춘회관
01-212,the face shop
01-2120,의료보조기상가
01-2122,홍경택치과
01-2123,서울복음교회
01-2124,한의원
01-2125,의류상가
01-2126,우리은행 종로5가지점
01-2127,동대문종합시장앞 동대문역 6번출구 전방 10m 가판대
01-2128,SC제일은행 동대문역지점
01-2129,정업원터
01-213,나니와 음식점
01-2130,휴대폰상가
01-2131,식당
01-214,PHOROI 쌀국수집
01-215,이삭어린이집
01-216,지짐이
01-217,끼(퓨전호프)
01-218,성균관대 총동창회관
01-219,혜명교회
01-220,술취한 대학로점
01-221,명동순대
01-222,크리스피크림(대학로점)
01-223,드렁큰 메모리
01-224,산봉화로구이
01-225,ORANGE COUNTRY
01-226,동숭동 LG텔레콤
01-227,커피빈
01-228,봉추찜닭
01-229,학림커피
01-230,GS25마로니에점
01-231,대학로 오징어보쌈
01-232,The other 소극장
01-233,작은 스위스 요리전문점
01-234,star sanzi entertainment
01-235,도도야
01-236,우돈가 대학로 본점
01-237,서울 시립 어린이 도서관 앞
01-238,사직치안센터 앞
01-240,모이세 실내포차 앞
01-241,우미래 앞
01-242,효성원 한의원
01-243,목포홍탁 앞
01-244,allspoon 앞
01-245,중원 한식 앞
01-246,시티은행 앞
01-247,외환은행 앞
01-248,Fdex 앞
01-249,정부 중앙청사 안내실 앞
01-250,외교통상부 앞
01-251,광화문 시민 열린마당 후문 좌측 앞
01-252,광화문 시민 열린마당 후문 건너편
01-253,우리은행 앞
01-254,공원 놀이터 앞
01-255,GS25 앞
01-256,길복정 복 아구 앞
01-257,도렴빌딩 앞
01-258,세종로 주차장 입구앞
01-259,미국대사관 앞
01-260,상리앞
01-261,신한은행 앞
01-262,국민은행 광화문 사옥 앞
01-264,함흥냉면 앞
01-265,경희랜드 부동산 앞
01-266,서광종합개발빌딩 앞
01-267,오션 패밀리 뷔폐 간판 앞
01-268,코코호두 앞
01-269,일식레스트랑 건너편
01-270,광화문 우체국 우편물 주차장
01-271,57번지 한솥 도시락
01-272,Shin Yang 빌딩
01-273,국세청 건물 조세 박물관 앞
01-274,종로 경찰서 알림판
01-275,조계사 입구 건너편 앞
01-276,관훈클럽신영기금회관
01-277,관성필방
01-278,사람과 나무
01-279,배수사
01-280,무아국수집
01-281,외교통상부
01-282,삼성식당
01-283,"동감, 조계사 불교대학"
01-284,동산방
01-285,제주미향
01-286,호아빈 앞
01-287,두산위브 빌딩
01-288,공평빌딩
01-289,주점 포시즌
01-290,찬양집 해물 칼국수
01-291,밥상머리 식당
01-292,하나투어빌딩
01-293,흥부네
01-294,DEXCO JRT
01-295,한국전통관광명품점
01-296,은행 자동화점
01-297,동남장 모텔
01-298,낙원동 164번지 공사장
01-299,정원 왕갈비
01-3001,디자인그룹 프리크리
01-3002,팔판동 35-157 일반주택
01-3003,35번지 203호 주택
01-3004,35번지 201호 주택
01-3005,35번지 187호 주택
01-3006,35번지 2247호 주택
01-3007,35번지 142호 주택
01-3008,북촌생활사학박물관
01-3009,총포박물관
01-3010,35번지 100호 주택
01-3011,35번지 137호 주택
01-3012,1번지 38호 주택
01-3013,35번지 171호 주택
01-3014,35번지 90호 주택
01-3015,구립 복정 경로당
01-3016,35번지 79호 주택
01-3017,35번지 51호 주택
01-3018,35번지 7호 주택
01-3019,31번지 43호 주택
01-302,보석점
01-3020,33번지 47호 주택
01-3021,31번지 119호 주택
01-3022,38번지 주택
01-3023,茂
01-3024,30번지 16호 주택
01-3025,2번지 91호 가정집
01-3026,광합성 까페
01-3027,갤러리 체어온더힐
01-3028,170번지 5호 가정집
01-3029,신광설비
01-303,삼공빌딩 앞
01-3030,소석화실
01-3031,락고제(음식점)
01-3032,석초당한의원
01-3033,워킹홀리데이
01-3034,어린이화실&도예공방
01-3035,가회동 11-44 주택
01-3036,상원빌라트
01-3037,상원주택110동
01-3038,부림빌라
01-3039,전광수커피숍
01-304,종각빌딩
01-3040,마산 아구찜 주차장
01-3041,아트링크 갤러리
01-3042,일반건물
01-3043,덕성여고 담벼락
01-3044,헌법재판소
01-3045,영진문고
01-3046,갤러리담
01-3047,연두커피점
01-3048,100번지 1호 가정집
01-3049,11번지 13호 주택
01-305,노래방
01-3050,심영미매듭박물관
01-3051,집 (소석화실뒤편)
01-3052,김성수선생옛집
01-3053,궁전빌라트(가)동
01-3054,아름빌라
01-3055,가회박물관
01-3056,85번지 주택
01-3057,삼청교회
01-3058,125번지 주택
01-3059,한식당 달 항아리
01-306,피카소 모텔
01-3060,77번지 주택
01-3061,숭인1동 주택
01-3062,웰컴 독서실
01-3063,제봉소
01-3064,국악기연구원
01-3065,숭인1동 56-131 일반주택
01-3066,숭인1동 57-7호 일반주택
01-3067,56번지52 호주택
01-3068,출애굽 교회
01-3069,숭인1동 56-24 단독주택
01-307,음식점
01-3070,창신동 동원빌딩
01-3071,이비인후과 병원
01-3072,"치킨, 피자집"
01-3073,숭인교회
01-3074,숭인1동 23-86 일반주택
01-3075,김정엽 세무사 사무소
01-3076,천 공장
01-3077,성원물산
01-308,SK본사 일림 표지판 앞
01-309,아시아나 항공 좌측 정자 앞
01-310,서린 공영주차장 입구 앞
01-3100,MJ's
01-3101,103번지 104호 가정집
01-311,봉추찜닭
01-312,우메마루
01-313,사격장
01-314,춘천본가
01-315,오뎅바
01-316,고메이
01-317,시사일본어
01-318,된장명가
01-319,Show 종로프라자
01-320,관철동 옛날농장
01-321,숯불고갈비
01-322,YBM 어학원
01-323,OPE
01-324,몽 모텔
01-325,발광전시장
01-326,국일관 뒷문
01-327,국일관 앞 보쌈골목 사거리
01-328,중앙공예사
01-329,종로조각
01-330,범아상사
01-331,경진전기
01-332,미래테크
01-333,신용모터
01-334,성도문방구
01-335,한국기독교연합회관
01-336,지성한의원
01-337,파고다스튜디오
01-338,"두산아트센터, 삼양그룹빌딩 사이"
01-339,야베스
01-340,종로성당
01-341,보령치킨
01-342,그랜드패션 수선코너
01-343,삼오당
01-344,청산 슈퍼
01-345,우리은행 종로 6가점
01-346,동대서점
01-347,남원추어탕
01-348,광남 한의원
01-349,항아리집
01-350,한국계기
01-351,태안상가
01-352,신일조명
01-353,예지동 T world
01-354,신태양
01-355,이천상회
01-356,한일작크
01-357,영광폐백
01-358,동대문 아케이트 수입상가
01-360,에덴주단
01-361,금강산악
01-362,승진문구사 건물 입구
01-363,태창상회
01-366,삼원실업
01-367,명다방
01-368,대우지퍼
01-369,대영부동산
01-370,완도 회 수산
01-371,규수방 미용실
01-372,용림목욕탕
01-373,대한 산업
01-374,정읍집
01-375,대광서점
01-376,성원 웰빙 클리닉 주차장
01-377,Anex telecom
01-378,김밥 사랑
01-379,제일2 저축은행
01-380,진고개
01-381,하나 상사
01-382,술람미 우먼 로드
01-383,광 주집
01-384,태화 여인숙
01-385,오시오
01-386,창신 종합 완구
01-387,선경사
01-390,계경 목장 앞
01-391,주한 중국 문화원 앞
01-392,서울 지방경찰청 동문 초소 앞
01-393,쌍용 플래티넘 빌딩 앞
01-394,정부중앙청사 코너 앞
01-395,경희궁의 아침 3단지 주차장 입구 앞
01-396,종로일번가 부동산 앞
01-397,정부중앙청사 별관 옆문 앞
01-398,경희궁의 아침 3단지 주차장 앞
01-399,대우프라자 입구 앞
01-401,세종 빌딩 뒷편 앞
01-402,현대해상주차장앞
01-403,운현신화타워
01-406,맥도날드
01-407,성음정보통신
01-408,현전자
01-409,우신전기사업
01-410,평남모피
01-412,진흥 직물
01-413,동대문 호텔
01-414,청계다방
01-417,광화문역 2번출구
01-418,현대해상화재보험 앞
01-421,덕성여중 우측 삼거리
01-422,도한사
01-5001,종각 7번 출구 꽃집
01-5002,"종각역 티 월드 (7,8과 9,10 출구 사이)"
01-5003,종각역 10번 출구 이니스프리 화장품
01-5004,종각역 우연 신발가게
01-5005,종각역 행복예감 화장품가게
01-5006,종각 11번 출구
01-5007,종각역 시몬느 예물전
01-5008,맞은 편 아웃백 간판(막다른 골목)
01-5009,종각 아웃백 들어가는 계단
01-5010,종각 12번 출구
01-604,안성 자동차 공업사
01-605,이화 식당
01-606,늘푸른식당
01-607,효제길 16 건물
01-608,한국고시총판빌딩
01-609,별헤어 미용실
01-610,연안항공
01-611,효제문구사
01-612,투영
01-613,효제동 삼동빌딩
01-614,삼손빌딩
01-615,보광한약국
01-616,대동 빌딩
01-620,효제초교앞 공중전화박스
01-802,"흥국생명 뒷문, 한신베르시움"
01-803,갯마을낙지
01-805,아시아나 항공 정자
01-806,저축은행 국민은행 사이
01-808,무안뻘낙지 음식점
01-809,순대국집
01-810,과학기자재업체
01-811,익선동 85 여관
01-812,무속인집
01-814,경운동 1-8 음식점
01-815,경운동 21 주택
02-001,아이앤유 태화빌딩
02-002,성동공업고등학교정문 우측 담벽
02-003,서울 미공
02-004,도로교통공단
02-005,새말을금고회관
02-006,신흥빌딩
02-007,신당동 삼성아파트 115동
02-008,돈신댓잎갈비
02-009,열림사
02-010,SK주유소
02-011,대남빌딩
02-012,Family Mart
02-013,화남빌딩
02-014,기아자동차 남대문지점
02-015,우리은행빌딩
02-016,유진공인중개사
02-017,롯데마트
02-018,종로학사
02-019,서울시티타워
02-020,KT&G행복네트워크
02-021,국민은행 서소문로지점
02-022,농협중앙회(남창동)
