id속성조사,조사지점코드,조사일자,조사요일,남여구분,조사시간대,조사시간대_텍스트,연령대,거주지,통행주목적,방문횟수,동행자명,교통수단,보행환경,직업명,년도
1,01-003,1016,금,여자,,오전11시~오후2시,50-54세,종로구,업무관련,주1~2회,,,약간만족,전문/자유직,2015
2,01-003,1016,금,남자,,오전11시~오후2시,60-64세,성북구,업무관련,주3~5회,,,매우만족,일용/작업직,2015
3,01-003,1016,금,남자,,오전11시~오후2시,65세이상,종로구,업무관련,주3~5회,,,약간만족,일용/작업직,2015
4,01-003,1016,금,남자,,오전7시30분~11시,45-49세,서대문구,출근,매일,,,약간만족,사무/기술직,2015
5,01-003,1016,금,남자,,오전7시30분~11시,35-39세,도봉구,출근,매일,,,매우만족,사무/기술직,2015
6,01-003,1016,금,여자,,오전7시30분~11시,65세이상,종로구,"그냥 걸으려고(운동,산책,기분전환등)",매일,,,약간만족,,2015
7,01-003,1016,금,여자,,오전7시30분~11시,50-54세,종로구,누군가를데리러(또는데려다주러),주3~5회,,,약간만족,(전업)주부,2015
8,01-003,1016,금,여자,,오전7시30분~11시,60-64세,종로구,출근,주3~5회,,,약간만족,일용/작업직,2015
9,01-003,1016,금,여자,,오전7시30분~11시,65세이상,종로구,출근,주3~5회,,,약간만족,일용/작업직,2015
10,01-003,1016,금,여자,,오전7시30분~11시,40-44세,종로구,누군가를데리러(또는데려다주러),주3~5회,,,약간만족,(전업)주부,2015
11,01-003,1017,토,남자,,오후5시~8시,30-34세,종로구,물건을사려고,매일,,,매우만족,사무/기술직,2015
12,01-003,1017,토,여자,,오후5시~8시,35-39세,종로구,물건을사려고,주3~5회,,,매우만족,(전업)주부,2015
13,01-003,1017,토,여자,,오전11시~오후2시,30-34세,종로구,누군가를데리러(또는데려다주러),매일,,,보통,(전업)주부,2015
14,01-003,1017,토,여자,,오전11시~오후2시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,보통,,2015
15,01-003,1017,토,남자,,오후2시~5시,45-49세,성북구,업무관련,주1~2회,,,약간불만족,사무/기술직,2015
16,01-003,1017,토,여자,,오후2시~5시,45-49세,성북구,"그냥 걸으려고(운동,산책,기분전환등)",주1~2회,,,보통,판매/서비스직,2015
17,01-003,1017,토,여자,,오후2시~5시,60-64세,강남구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주1~2회,,,약간불만족,(전업)주부,2015
18,01-003,1017,토,여자,,오후2시~5시,15-19세,종로구,학업관련(학원/도서관),주3~5회,,,보통,(대)학생,2015
19,01-003,1017,토,여자,,오후2시~5시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",매일,,,매우만족,(전업)주부,2015
20,01-003,1017,토,여자,,오후2시~5시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",매일,,,매우만족,(전업)주부,2015
21,01-005,1030,금,여자,,오전7시30분~11시,50-54세,종로구,업무관련,6개월1~3회,,,약간불만족,전문/자유직,2015
22,01-005,1030,금,여자,,오전7시30분~11시,65세이상,종로구,누군가를데리러(또는데려다주러),매일,,,약간불만족,(전업)주부,2015
23,01-005,1030,금,남자,,오전7시30분~11시,55-59세,종로구,출근,매일,,,약간불만족,자영업,2015
24,01-005,1030,금,남자,,오전11시~오후2시,20-24세,성북구,학업관련(학원/도서관),주3~5회,,,보통,(대)학생,2015
25,01-005,1030,금,남자,,오전11시~오후2시,20-24세,,등교,주3~5회,,,약간만족,(대)학생,2015
26,01-005,1030,금,남자,,오전11시~오후2시,65세이상,종로구,업무관련,매일,,,보통,자영업,2015
27,01-005,1030,금,남자,,오후2시~5시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",6개월1~3회,,,보통,자영업,2015
28,01-005,1030,금,남자,,오전11시~오후2시,20-24세,,학업관련(학원/도서관),매일,,,약간불만족,(대)학생,2015
29,01-005,1030,금,여자,,오후5시~8시,25-29세,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",매일,,,약간만족,(대)학생,2015
30,01-005,1030,금,여자,,오후5시~8시,20-24세,종로구,물건을사려고,매일,,,보통,(대)학생,2015
31,01-005,1031,토,여자,,오후2시~5시,50-54세,종로구,누군가를데리러(또는데려다주러),월1~2회,,,보통,(전업)주부,2015
32,01-005,1031,토,남자,,오전11시~오후2시,60-64세,서대문구,업무관련,주3~5회,,,매우불만족,경영/관리직,2015
33,01-005,1031,토,여자,,오후2시~5시,55-59세,종로구,업무관련,주3~5회,,,약간불만족,판매/서비스직,2015
34,01-005,1031,토,여자,,오전11시~오후2시,65세이상,종로구,"그냥 걸으려고(운동,산책,기분전환등)",매일,,,매우불만족,(전업)주부,2015
35,01-005,1031,토,여자,,오전11시~오후2시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",매일,,,약간불만족,(전업)주부,2015
36,01-005,1031,토,여자,,오전11시~오후2시,45-49세,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,매우불만족,(전업)주부,2015
37,01-005,1031,토,남자,,오후2시~5시,25-29세,강남구,"그냥 걸으려고(운동,산책,기분전환등)",주1~2회,,,매우불만족,(대)학생,2015
38,01-005,1031,토,남자,,오후2시~5시,20-24세,강남구,"그냥 걸으려고(운동,산책,기분전환등)",주1~2회,,,매우불만족,(대)학생,2015
39,01-005,1031,토,여자,,오후5시~8시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,약간만족,(전업)주부,2015
40,01-005,1031,토,남자,,오후5시~8시,50-54세,성북구,업무관련,월1~2회,,,보통,사무/기술직,2015
41,01-008,1017,토,여자,,오전7시30분~11시,50-54세,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",주3~5회,,,약간불만족,(전업)주부,2015
42,01-008,1017,토,남자,,오전7시30분~11시,55-59세,종로구,업무관련,주3~5회,,,약간불만족,경영/관리직,2015
43,01-008,1017,토,남자,,오전11시~오후2시,50-54세,종로구,회사또는근무지(사업장등)로복귀,매일,,,매우불만족,자영업,2015
44,01-008,1017,토,남자,,오전11시~오후2시,35-39세,종로구,업무관련,매일,,,보통,판매/서비스직,2015
45,01-008,1017,토,여자,,오후2시~5시,50-54세,종로구,"그냥 걸으려고(운동,산책,기분전환등)",매일,,,약간만족,(전업)주부,2015
46,01-008,1017,토,여자,,오후2시~5시,20-24세,서대문구,"여가/오락/친교/모임/식사(회식,음료포함)",주3~5회,,,보통,(대)학생,2015
47,01-008,1017,토,남자,,오후2시~5시,60-64세,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",매일,,,약간불만족,자영업,2015
48,01-008,1017,토,남자,,오전11시~오후2시,60-64세,종로구,업무관련,매일,,,약간불만족,전문/자유직,2015
49,01-008,1017,토,남자,,오후5시~8시,35-39세,종로구,"그냥 걸으려고(운동,산책,기분전환등)",주1~2회,,,약간불만족,사무/기술직,2015
50,01-008,1017,토,남자,,오후5시~8시,65세이상,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",매일,,,매우불만족,,2015
51,01-008,1016,금,여자,,오전7시30분~11시,50-54세,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,약간불만족,사무/기술직,2015
52,01-008,1016,금,여자,,오전11시~오후2시,25-29세,종로구,학업관련(학원/도서관),주3~5회,,,보통,(대)학생,2015
53,01-008,1016,금,남자,,오전7시30분~11시,65세이상,종로구,역/정류장/교통수단 이용,주3~5회,,,보통,일용/작업직,2015
54,01-008,1016,금,여자,,오전7시30분~11시,45-49세,종로구,역/정류장/교통수단 이용,주3~5회,,,약간불만족,판매/서비스직,2015
55,01-008,1016,금,남자,,오전7시30분~11시,65세이상,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,보통,,2015
56,01-008,1016,금,여자,,오전7시30분~11시,35-39세,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",매일,,,약간만족,사무/기술직,2015
57,01-008,1016,금,여자,,오전7시30분~11시,50-54세,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,약간만족,(전업)주부,2015
58,01-008,1016,금,여자,,오전7시30분~11시,25-29세,종로구,출근,매일,,,보통,판매/서비스직,2015
59,01-008,1016,금,여자,,오전7시30분~11시,35-39세,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",주3~5회,,,보통,(전업)주부,2015
60,01-008,1016,금,남자,,오전7시30분~11시,60-64세,종로구,"그냥 걸으려고(운동,산책,기분전환등)",매일,,,보통,,2015
61,01-009,1002,금,여자,,오전7시30분~11시,65세이상,종로구,"그냥 걸으려고(운동,산책,기분전환등)",매일,,,보통,(전업)주부,2015
62,01-009,1002,금,여자,,오전7시30분~11시,45-49세,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",매일,,,약간만족,(전업)주부,2015
63,01-009,1002,금,여자,,오전7시30분~11시,60-64세,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",주3~5회,,,보통,(전업)주부,2015
64,01-009,1002,금,남자,,오전7시30분~11시,30-34세,종로구,귀가/퇴근/하교,매일,,,보통,전문/자유직,2015
65,01-009,1002,금,여자,,오전11시~오후2시,55-59세,종로구,물건을사려고,매일,,,약간불만족,(전업)주부,2015
66,01-009,1002,금,여자,,오후2시~5시,60-64세,종로구,"개인용무/집안일(병원,은행,관공서,종교활동,봉사활동등)",매일,,,보통,자영업,2015
67,01-009,1002,금,남자,,오후2시~5시,45-49세,,출근,주3~5회,,,약간만족,사무/기술직,2015
68,01-009,1002,금,남자,,오후2시~5시,40-44세,강북구,업무관련,주3~5회,,,약간만족,사무/기술직,2015
69,01-009,1002,금,남자,,오후2시~5시,65세이상,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",주3~5회,,,보통,,2015
70,01-009,1002,금,여자,,오후2시~5시,60-64세,종로구,"여가/오락/친교/모임/식사(회식,음료포함)",주3~5회,,,약간만족,(전업)주부,2015
71,01-009,1010,토,여자,,오전7시30분~11시,50-54세,종로구,"그냥 걸으려고(운동,산책,기분전환등)",주3~5회,,,약간불만족,(전업)주부,2015
