번호,구분,분류,장소명,주소 ,Latitude,Longitude,비고
1,서울거리예술존,광진구,건대프리마켓 ,서울 광진구 화양동 4-17,37.5421301,127.0721018,서울시 운영
2,서울거리예술존,중랑구,동부골목시장 ,서울 중랑구 중랑천로10길 61,37.5924034,127.0763108,서울시 운영
3,서울거리예술존,중구,신중부시장 ,서울특별시 중구 을지로30길 29,37.5655077,126.9994027,서울시 운영
4,서울거리예술존,종로구,세종마을 음식문화거리 ,서울특별시 종로구 체부동 53,37.5765592,126.9721772,서울시 운영
5,서울거리예술존,동대문구,서울풍물시장 ,서울특별시 동대문구 천호대로4길 21,37.5730037,127.0256147,서울시 운영
6,서울거리예술존,구로구,구로시장 ,서울 구로구 구로4동 736-1,37.4885883,126.8854574,서울시 운영
7,서울거리예술존,광진구,중곡제일골목시장 ,서울특별시 광진구 중곡동 229-15,37.5635454,127.0811123,서울시 운영
8,서울거리예술존,강서구,화곡중앙골목시장 ,서울특별시 강서구 화곡동 362-82,37.5344789,126.8384258,서울시 운영
9,서울거리예술존,강북구,강북종합시장 ,서울특별시 강북구 수유3동 한천로148길 12-43,37.6421586,127.0254623,서울시 운영
10,서울거리예술존,중구,만화의 거리(재미로) 명동역 3번 출구 ,서울 중구 충무로2가 109-3,37.5606692,126.9856881,서울시 운영
11,서울거리예술존,중구,덕수궁 돌담길 ,서울특별시 중구 정동 5-10,37.5648597,126.9751293,서울시 운영
12,서울거리예술존,마포구,망원동 월드컵시장 ,서울특별시 마포구 포은로 120,37.5575757,126.9044851,서울시 운영
13,서울거리예술존,마포구,망원시장 ,서울특별시 마포구 망원동 486-8,37.5565962,126.9061281,서울시 운영
14,서울거리예술존,종로구,남인사무대 ,서울 종로구 인사동길 6,37.5714306,126.9873002,서울시 운영
15,서울거리예술존,노원구,북서울미술관 별 광장 ,서울특별시 노원구 동일로 1238,37.6406819,127.0668234,서울시 운영
16,서울거리예술존,동대문구,서울풍물시장 정문 ,서울시 동대문구 신설동 96-11,37.5733444,127.025402,서울시 운영
17,서울거리예술존,동대문구,서울 약령시장 ,서울시 동대문구 약령중앙로10,37.5790102,127.0370606,서울시 운영
18,서울거리예술존,동작구,성대골목시장 ,서울특별시 동작구 상도3동 성대로2길 11,37.4990765,126.9313992,서울시 운영
19,서울거리예술존,도봉구,둘리뮤지엄 ,서울시 도봉구 시루봉로1길 6,37.6538444,127.0227892,서울시 운영
20,서울거리예술존,광진구,서울어린이대공원 ,서울시 광진구 능동로 216,37.549363,127.0818126,서울시 운영
21,서울거리예술존,종로구,낙산공원 놀이마당 ,서울시 종로구 동숭동 산2-32,37.5798006,127.0082393,서울시 운영
22,서울거리예술존,도봉구,방학사계광장 겨울마당 ,서울특별시 도봉구 방학동 710,37.6622653,127.0431073,서울시 운영
23,서울거리예술존,송파구,한성백제박물관 ,서울시 송파구 위례성대로 71,37.5152456,127.1206369,서울시 운영
24,서울거리예술존,강서구,롯데몰 김포공항점 ,서울특별시 강서구 하늘길 77,37.5667733,126.8025118,서울시 운영
25,서울거리예술존,용산구,후암시장 문화공간 ,서울시 용산구 후암동 65-4,37.5503746,126.976155,서울시 운영
26,서울거리예술존,중구,덕수궁 대한문 ,서울특별시 중구 태평로2가 세종대로 99,37.5650292,126.9765362,서울시 운영
27,서울거리예술존,구로구,남구로시장 ,서울시 구로구 구로동로 26길 33,37.4902931,126.8859398,서울시 운영
28,서울거리예술존,도봉구,방학동 도깨비시장 ,서울시 도봉구 방학2동 632,37.6652549,127.0331682,서울시 운영
29,서울거리예술존,종로구,정독도서관 ,서울시 종로구 화동 2,37.5807856,126.9831611,서울시 운영
30,서울거리예술존,성북구,정릉시장 미태극장(개울장) ,서울특별시 성북구 보국문로11길 18-2,37.6087565,127.0091268,서울시 운영
31,서울거리예술존,도봉구,신창시장 ,서울시 도봉구 창2동 581,37.6404284,127.0384031,서울시 운영
32,서울거리예술존,마포구,마포농수산물시장(푸드트럭 특화거리) ,서울특별시 마포구 성산동 533-1,37.5651596,126.89847,서울시 운영
33,서울거리예술존,광진구,광진문화재단 나루아트센터 ,서울특별시 광진구 자양동 227-344,37.5373529,127.0705248,서울시 운영
34,서울거리예술존,동작구,동작문화복지센터 앞 ,서울특별시 동작구 장승배기로 10길 42,37.5043975,126.9410466,서울시 운영
35,서울거리예술존,동작구,보라매병원 앞 ,서울특별시 동작구 보라매로5길 20,37.4932234,126.9244612,서울시 운영
36,서울거리예술존,마포구,경의선책거리 ,서울특별시 마포구 와우산로 35길 50-4,37.5560304,126.9284396,서울시 운영
37,서울거리예술존,마포구,밤도깨비야시장(문화비축기지) ,서울특별시 마포구 성산동 증산로 87,37.5709869,126.894132,서울시 운영
38,서울거리예술존,성북구,돈암시장 ,서울특별시 성북구 동소문동5가59-1,37.5916206,127.0156917,서울시 운영
39,서울거리예술존,종로구,밤도깨비야시장(청계천) ,서울시 종로구 서린동 14 광통교 일대,37.5691135,126.9811645,서울시 운영
40,서울거리예술존,종로구,돈의문 박물관 마을 ,서울특별시 종로구 신문로2가 4,37.5688744,126.9682575,서울시 운영
41,서울거리예술존,중구,밤도깨비야시장(DDP) ,서울시 중구 을지로 281,37.5667521,127.0101046,서울시 운영
42,서울거리예술존,종로구,세종대로 차 없는 거리 ,서울특별시 종로구 세종로 80-9,37.5725971,126.9766036,서울시 운영
