태마,곡명,가사
힐링,직업병,"어색하지만 웃기도 하고
여유 있게 노래를 불렀어
꽤 잘 불렀죠 농담도 하고
요즘 내 얘기도 하고
얼마 전 들었던 재밌는 얘기도 했어
목이 타서 물도 한 모금 마시고
너무 말이 많았죠
이제 다시 노래 들려줄게요
아
아무도 듣지 않아
텅 빈 객석 앞에 오늘밤도
아무도 없는 그곳에 앉아
갑자기 비가 오네요
그런 말 없었는데
하루 종일 내 모습 참 우습죠
점점 마음만 약해져요
다시 노래 들려줄게요
아
아무도 듣지 않아
텅 빈 객석 앞에 오늘밤도
아무도 없는 그곳에서
아
아무도 듣지 않아
텅 빈 객석 앞에 오늘밤도
아무도 없는 그곳에서
비가 멈추기를"
힐링,새벽,"그렇게 지나간 새벽이라 
믿고 싶었어
자꾸만 더 외로워
깊어지는 게 무서워
어느새 차가운 공기만 
내려앉고 있어
캄캄한 밤 어둠을 
조금씩 밝게 비춰줘
어른 아닌 어른이 되어
모든 게 낯설어
서툴게 조금씩 배워가는 걸 
마냥 좋기만 했던 
스무 살 그때 사랑도
잊혀지는 건 금방이라서
쉽게 시작했던 건
내겐 하나도 없었어
후회 다 그렇게 하는 거 알아
근데 왜 이리 작아지는데
그렇게 지나간 새벽이라 
믿고 싶었어
자꾸만 더 외로워
깊어지는 게 무서워
어느새 차가운 공기만 
내려앉고 있어
캄캄한 밤 어둠을 
조금씩 밝게 비춰줘"
힐링,토로,"끝없이 맞닿은 어둠에
내 몸을 던져본다
어딘지도 모를 만큼
걷고 또 걸으면 알게 될까
생각의 바다 그 한 가운데에
표류하는 기억의 조각
눈을 감아 그려 보는
지난 나의 그 날
멀리 불어온 바람
후회로 얼룩진 내 마음속에
살며시 피어나는 건
사랑
비워낸 마음 가득히 사랑
헝클어진 미움 하나
남김없이 보내는 이 밤
상처 난 마음 아물게 하는 건
소리 없이 참아 내는 것
침묵 속에 가라앉는
헛된 꿈과 믿음
멀리 불어온 바람
후회로 얼룩진 내 마음속에
살며시 피어나는 건
사랑
비워낸 마음 가득히 사랑
헝클어진 미움 하나 남김없이 보내는
오늘 내게 가득 휘몰아치던 바람
이제 조용히 잠에 기대어
결국에 남은 건
결국에 우릴 지킨 건
사랑
안을 수 없는 커다란 그 맘
지나온 날과 살아갈 그 날
모든 순간에 있던
내게 네게 내게 네게"
힐링,발란스,"그런 날 있잖아
깊은 한숨과 함께 내가 싫어질때
다 맘에 안들고 모두 즐겁지 않아
그저 마냥 오늘을 잊어버리고
다 끝내고 싶어
슬프다면 울어도 돼
마이 프랜드 마이 프랜드
잊어버리고 싶은 날들도
나 혼자 참아내야 하지만
삶이란 어제와 똑같은 하루에도
오늘의 이유를
찾아내는 것일지도 몰라
내 인생에 바람이 분다 해도
하루를 제대로 살아가는 거
그것이 완벽한 밸런스 밸런스
힘들다면 쉬어도 돼
마이 프랜드 마이 프랜드
인생의 평균대위에
내가 중심을 잡아갈 수 있다면
삶이란 어제와 똑같은 하루에도
오늘의 이유를
찾아내는 것일지도 몰라
내 인생에 바람이 몰아쳐도
하루를 제대로 살아내는 거
그것이 완벽한
밸런스 밸런스 밸런스"
힐링,Holiday (Feat. the O),"다른 모습 다른 옷차림에
거창하게 멋을 내었어
짙은 화장으로 내 얼굴을
꾸미려 애를 써봤어
쉴 새 없이 돌아가는 조명
아래 날 내던져 보았어
또 다른 모습에
또 다른 얼굴에
어느새 난 희열을 느껴
It's Holiday
It's Holiday
내 맘에 잠겼던
단단히 막혔던
눈물마저 터져나오네
It's Holiday
It's Holiday
바라지 않았던
새벽의 흐릿한 빛깔들은
널 놓아주라는데
미안해
어색한 몸짓들은 제각각
서로를 위로해주는데
뜻하지 않게 내 몸짓마저
그들을 닮아가는데
길지 않은 이 시간마저도
지나가지 않기를 바래
영원한 위로가
다가올 슬픔을
깊이 채워주기를 바래
It's Holiday
It's Holiday
내 맘에 잠겼던
단단히 막혔던
눈물마저 터져나오네
It's Holiday
It's Holiday
바라지 않았던
새벽의 흐릿한 빛깔들은
널 놓아주라는데
미안해
It's Holiday
It's Holiday
바라지 않았던
새벽의 흐릿한 빛깔들은
널 놓아주라는데
미안해"
힐링,"Everytime, Everyday","항상 걷던 거리에서
날 비추는 가로등 빛에 기대
추억이 될 이 순간을 느끼네
지나간 것들이 문득 밀려와
날 잠기게 하지만
그것보다 더 아름다운 것은
온전한 나를 느낄 수 있는 지금
Everytime Everyday
잊지 못할 순간
어느새 추억이 돼버려
내 기억 속에 머물러
Everytime Everyday
선물 같은 순간
어느새 그리워하겠지 또 어느새
따스하게 내린 햇살
모든 것이 설렘으로 가득한
나의 오늘을 난 또 사진 속에 담는다
지나간 것들이 문득 밀려와
날 잠기게 하지만
그것보다 더 아름다운 것은
온전한 나를 느낄 수 있는 지금
Everytime Everyday
잊지 못할 순간
어느새 추억이 돼버려
내 기억 속에 머물러
Everytime Everyday
선물 같은 순간
어느새 그리워하겠지 또 어느새"
힐링,Papercut,"바람에 날려갔으면
강물에 실려갔으면
무심히 나를 베었던
기억들이 떠나갔으면
보이지 않는 선들이
지워졌으면
훨훨 날아갔으면
모든 게 꿈이었으면
뭐든지 할 수 있는걸
없던 일이 될 수만 있다면
Time
Papercut you gave me
Just a papercut you left me
Papercut you gave me
Just a papercut you left me
Papercut
Cut
Papercut
Cut
I did my best to read your eyes
To read between your pretty lies
But now I’m such a wreck you see
For me it’s already
the end of time
Papercut you gave me
Just a papercut you left me
Papercut you gave me
Just a papercut you left me
Papercut
Cut
Papercut
Cut
Papercut
Cut
Papercut
Cut
All this time you gave me
nothing left to keep
But it's time to let you go
to see you in your dreams"
힐링,그대 오늘도 잘해냈어요,"무슨 일 있나요 왜 눈물 짓나요
답답하고 속상해서 그런 건가요
참 안쓰러워서
괜히 내가 미안해요
어쩌면 오늘도 바람시리고
아무 의미 없는 하루가 지났나요
집에 가긴 싫고
그렇다고 딱히 불러낼
누군가도 생각나질 않아
그래도 오늘 그대
충분히 잘해냈어요
답답하고 막막하고
눈물 나는 하루 잘 견뎌냈어요
그대는 참으로
자랑스럽고 멋진 사람
나지막이 건네드려요
작은 소리로
그대의 마음속 깊은 그곳에
쉽사리 아물지 않는 그 상처는
속 깊은 한숨과
뚝뚝 떨어지는 눈물로
대신 말하곤 해
너무 지친 밤 별은 내리고 
잠을 청해봐도
또 어스름한 새벽
역시 오늘도 또 잠들지 못해
그래도 오늘 그대
충분히 잘해냈어요
답답하고 막막하고
눈물 나는 하루 잘 견뎌냈어요
그대는 참으로
사랑스럽고 예쁜 사람
나지막이 건네드려요
그댈 위한 나의 노래를
그대 오늘도 잘해냈어요"
힐링,청춘길일 (靑春吉日),"파아란 청춘이란 마치
눈부신 직사광선처럼
빛나도 그 뒤엔 짙은 그림자
길고 긴 터널이 이제야
끝난 줄 알았지만 사실 난
나 아직 준비가 되어있질 않아
우우우우 우리
우우우우 다시
우우우우우 우우우우 노래 부르자
우우우우 아직
우우우우 괜찮아
우우우우우 우우우우 이젠 웃자
우우우우 우리
우우우우 다시
우우우우우 우우우우 노래 부르자
우우우우 아직
우우우우 괜찮아
우우우우우 우우우우 이젠 웃자
안녕 나의 사랑아
날 잊지 말아줘 나를
안녕 나의 친구야
널 버리지는 마 너를
안녕 나의 사랑아
날 잊지 말아줘 나를
안녕 나의 친구야
또 다시 만나자 우리
안녕 나의 사랑아
날 잊지 말아줘 나를
안녕 나의 친구야
널 버리지는 마 너를
안녕 나의 사랑아
날 잊지 말아줘 나를
안녕 나의 친구야
또 다시 만나자 우리"
힐링,별 하나,"지친 하루 끝에 고개를 들어
밤 하늘을 봤을 때
유난히 작고 예쁜
반짝이던 별빛이
자꾸만 나를 따라오는 것 같아
괜히 한번 더 바라봐
눈이 마주쳤을까
더 반짝이던 별빛이
날 비추고 있는
저 별 하나가
왠지 작은 나를 
위로해주는 것 같아
아무래도 
나만 바라보고 있는 것 같아
오늘은 왠지 그냥 아무런 생각도
하고 싶지 않았는데
날 비추는 것 같은
반짝이던 별빛이
내 지친 하루를
감싸준 것 같아
왠지 자꾸만 날 
따라오는 것만 같아
아무래도 
나만 바라보고 있는 것 같아
지친 하루 끝에 고개를 들어
밤하늘을 봤을 때
유난히 작고 예쁜
반짝이던 별빛이
날 비추고 있는
저 별 하나가
왠지 작은 나를 
위로해주는 것 같아
아무래도 
나만 바라보고 있는 것 같아
내 밤 하늘을 보며"
