구코드,동코드,구명,동명,동ID
11010,1101053,종로구,사직동,253
11010,1101054,종로구,삼청동,254
11010,1101055,종로구,부암동,255
11010,1101056,종로구,평창동,256
11010,1101057,종로구,무악동,257
11010,1101058,종로구,교남동,258
11010,1101060,종로구,가회동,259
11010,1101061,종로구,종로1·2·3·4가동,260
11010,1101063,종로구,종로5·6가동,261
11010,1101064,종로구,이화동,262
11010,1101067,종로구,창신1동,263
11010,1101068,종로구,창신2동,264
11010,1101069,종로구,창신3동,265
11010,1101070,종로구,숭인1동,266
11010,1101071,종로구,숭인2동,267
11010,1101072,종로구,청운효자동,268
11010,1101073,종로구,혜화동,269
11020,1102052,중구,소공동,270
11020,1102054,중구,회현동,271
11020,1102055,중구,명동,272
11020,1102057,중구,필동,273
11020,1102058,중구,장충동,274
11020,1102059,중구,광희동,275
11020,1102060,중구,을지로동,276
11020,1102065,중구,신당5동,277
11020,1102067,중구,황학동,278
11020,1102068,중구,중림동,279
11020,1102069,중구,신당동,280
11020,1102070,중구,다산동,281
11020,1102071,중구,약수동,282
11020,1102072,중구,청구동,283
11020,1102073,중구,동화동,284
11030,1103051,용산구,후암동,285
11030,1103052,용산구,용산2가동,286
11030,1103053,용산구,남영동,287
11030,1103057,용산구,원효로2동,288
11030,1103058,용산구,효창동,289
11030,1103059,용산구,용문동,290
11030,1103063,용산구,이촌1동,291
11030,1103064,용산구,이촌2동,292
11030,1103065,용산구,이태원1동,293
11030,1103066,용산구,이태원2동,294
11030,1103069,용산구,서빙고동,295
11030,1103070,용산구,보광동,296
11030,1103071,용산구,청파동,297
11030,1103072,용산구,원효로1동,298
11030,1103073,용산구,한강로동,299
11030,1103074,용산구,한남동,300
11040,1104052,성동구,왕십리2동,301
11040,1104054,성동구,마장동,302
11040,1104055,성동구,사근동,303
11040,1104056,성동구,행당1동,304
11040,1104057,성동구,행당2동,305
11040,1104058,성동구,응봉동,306
11040,1104059,성동구,금호1가동,307
11040,1104062,성동구,금호4가동,308
11040,1104065,성동구,성수1가1동,309
11040,1104066,성동구,성수1가2동,310
11040,1104067,성동구,성수2가1동,311
11040,1104068,성동구,성수2가3동,312
11040,1104069,성동구,송정동,313
11040,1104070,성동구,용답동,314
11040,1104071,성동구,왕십리도선동,315
11040,1104072,성동구,금호2·3가동,316
11040,1104073,성동구,옥수동,317
11050,1105053,광진구,화양동,318
11050,1105054,광진구,군자동,319
11050,1105055,광진구,중곡1동,320
11050,1105056,광진구,중곡2동,321
